ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,PromClass_Dummy_Platinum,PromClass_Dummy_Gold,PromClass_Dummy_Silver,DemAffl_M,DemAge_M,PromTime_M,DemClusterGroup_M,DemGender_M,DemReg_M,DemTVReg_M,RND
89796,11,75,B,F,Midlands,East,Silver,3052.66,8,1,0,0,1,0,0,0,0,0,0,0,0.2044855744
91588,8,37,E,F,North,Yorkshire,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.3024149264
95036,12,61,B,F,Unknown,Unknown,Silver,1020,9,0,0,0,1,0,0,0,0,0,1,1,0.4336885397
95982,19,39,A,F,North,Yorkshire,Tin,0.01,8,1,0,0,0,0,0,0,0,0,0,0,0.5087615259
102385,8,57,B,M,Scottish,C Scotland,Gold,9000,9,0,0,1,0,0,0,0,0,0,0,0,0.2006908121
103225,13,18,C,F,South East,S & S East,Gold,6000,1,0,0,1,0,0,0,0,0,0,0,0,0.1780465777
108413,5,56,A,U,North,N West,Silver,3000,8,0,0,0,1,0,0,0,0,0,0,0,0.5823426664
109819,9,50,D,F,North,N East,Gold,20000,4,0,0,1,0,0,0,0,0,0,0,0,0.1967482759
117498,11,67,B,U,North,N East,Platinum,22000,8,0,1,0,0,0,0,0,0,0,0,0,0.4284436099
124710,11,66,A,F,South East,London,Silver,2000,5,0,0,0,1,0,0,0,0,0,0,0,0.2163141883
126098,2,51,C,U,North,Yorkshire,Gold,10000,5,0,0,1,0,0,0,0,0,0,0,0,0.1852056483
127892,10,60,B,U,North,N West,Silver,1020,9,0,0,0,1,0,0,0,0,1,0,0,0.5000151971
129283,9,48,C,M,Midlands,East,Silver,3000,2,0,0,0,1,0,0,0,0,0,0,0,0.3459474283
144649,8,47,A,F,Scottish,N Scot,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.104491185
145157,11,39,E,F,South East,London,Silver,2800,1,1,0,0,1,0,0,0,0,0,0,0,0.4609299416
148849,9,60,C,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0252200738
151432,6,54,D,M,North,Yorkshire,Gold,9000,3,0,0,1,0,0,1,0,0,0,0,0,0.5529423116
159522,13,41,B,M,South East,London,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.4500318484
168394,9,35,F,F,South East,London,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.073617029
170127,7,50,B,M,North,Yorkshire,Silver,5000,10,0,0,0,1,0,0,0,0,0,0,0,0.322042084
181498,6,62,A,U,North,N West,Silver,3000,29,0,0,0,1,0,0,0,0,1,0,0,0.1984701716
192791,9,60,C,M,Midlands,East,Gold,8100,5,0,0,1,0,0,0,0,0,0,0,0,0.1861215067
197440,8,49,B,F,North,N West,Gold,7600,4,0,0,1,0,0,0,0,0,0,0,0,0.4439367542
202878,6,57,F,M,Midlands,Midlands,Silver,2000,8,0,0,0,1,0,0,0,0,0,0,0,0.255159367
203289,7,52,F,U,Midlands,Midlands,Platinum,23053.35,6,0,1,0,0,0,0,0,0,0,0,0,0.1927452056
213241,5,57,F,F,Unknown,Unknown,Gold,12000,1,0,0,1,0,0,0,0,0,0,1,1,0.0724873445
215554,8,52,C,F,North,N West,Silver,2500,6,1,0,0,1,0,0,0,0,0,0,0,0.0118676983
217158,12,74,A,F,Midlands,East,Gold,6000,5,0,0,1,0,0,0,0,0,0,0,0,0.3461635981
223182,9,79,D,F,South East,London,Silver,5000,5,0,0,0,1,0,0,0,0,0,0,0,0.339405005
234540,6,48,D,U,North,Yorkshire,Silver,420,4,0,0,0,1,0,0,0,0,1,0,0,0.5198096547
248258,9,58,B,F,North,N West,Silver,5000,5,0,0,0,1,0,0,0,0,0,0,0,0.1212473047
252646,3,45,F,F,North,Yorkshire,Silver,100.01,9,0,0,0,1,0,0,0,0,0,0,0,0.3599586791
253839,9,42,F,F,North,N West,Silver,2000,4,0,0,0,1,0,0,0,0,0,0,0,0.016201274
256366,10,40,F,U,Midlands,Midlands,Silver,50,10,0,0,0,1,0,0,0,0,0,0,0,0.36533508
259802,5,55,D,U,Midlands,Midlands,Gold,10100,8,0,0,1,0,0,0,0,0,1,0,0,0.4623608
263419,11,27,C,F,South East,London,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.1473787004
267236,4,60,E,F,North,N West,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.1626345912
270962,7,58,A,U,South East,London,Silver,2500,5,0,0,0,1,0,0,0,0,0,0,0,0.4435297453
274623,7,42,D,M,North,N West,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.0012739277
275700,10,36,F,F,Unknown,Unknown,Silver,1000,9,1,0,0,1,0,0,0,0,0,1,1,0.3158024714
276871,6,54,E,F,South East,London,Gold,5500,1,1,0,1,0,0,1,0,0,0,0,0,0.5328666626
280895,10,54,C,F,Midlands,East,Tin,0.01,6,1,0,0,0,0,1,0,0,0,0,0,0.1147681973
285846,9,76,F,F,Midlands,East,Silver,2000,8,1,0,0,1,0,0,0,0,0,0,0,0.3001726709
288748,14,54,C,F,South East,S & S East,Gold,10000,8,0,0,1,0,0,1,0,0,0,0,0,0.4594642867
293555,12,61,B,F,Scottish,N Scot,Silver,4000,1,0,0,0,1,0,0,0,0,0,0,0,0.0165330297
295620,9,47,U,M,Midlands,Ulster,Tin,0.01,5,0,0,0,0,0,0,0,1,0,0,0,0.0985791185
297194,8,52,F,U,Midlands,East,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.4669392796
300845,8,40,E,U,Midlands,Midlands,Silver,1000,1,0,0,0,1,0,0,0,0,0,0,0,0.4911860579
301175,5,56,D,F,Midlands,Midlands,Tin,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.1182907387
310786,9,50,C,F,South East,London,Gold,12000,2,0,0,1,0,0,0,0,0,0,0,0,0.3985870869
312762,8,41,B,F,South East,S & S East,Silver,1675,7,1,0,0,1,0,0,0,0,0,0,0,0.4522794082
315559,8,60,B,M,South East,London,Silver,100.01,8,0,0,0,1,0,0,0,0,0,0,0,0.5718341091
315788,10,70,B,F,South East,S & S East,Silver,2250,8,0,0,0,1,0,0,0,0,0,0,0,0.2068891699
316350,9,50,D,F,South East,London,Tin,0.01,9,1,0,0,0,0,0,0,0,0,0,0,0.2697392699
317640,15,37,F,F,Midlands,Midlands,Tin,0.01,8,1,0,0,0,0,0,0,0,0,0,0,0.3050190398
317950,9,74,C,F,South East,London,Silver,3000,5,0,0,0,1,0,0,0,0,0,0,0,0.3575924241
323039,8,49,A,U,North,N West,Silver,4000,3,0,0,0,1,0,0,0,0,1,0,0,0.3772862388
331341,9,53,B,M,Scottish,C Scotland,Gold,6000,4,0,0,1,0,0,0,0,0,0,0,0,0.0024669161
332658,4,54,D,F,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,1,0,0,0,0,0,0.1775687491
335606,8,59,E,U,Scottish,Border,Silver,2500,7,0,0,0,1,1,0,0,0,0,0,0,0.1255337112
340146,7,63,B,U,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.033045914
342033,7,51,D,F,North,N West,Silver,3026.67,10,0,0,0,1,0,0,0,0,0,0,0,0.3464625945
345865,10,39,E,M,North,Yorkshire,Gold,7500,2,1,0,1,0,0,0,0,0,0,0,0,0.132385199
346225,6,53,E,M,South East,S & S East,Silver,3000,6,1,0,0,1,0,0,0,0,0,0,0,0.03569507
347086,7,48,C,F,South East,London,Silver,5000,4,0,0,0,1,0,0,0,0,0,0,0,0.0908868448
351482,6,43,E,F,South West,S West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,0.1794781877
356719,3,67,C,F,Midlands,East,Gold,12049.25,3,0,0,1,0,0,0,0,0,0,0,0,0.1705087187
357898,2,45,D,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.115690298
359955,13,68,E,F,South East,London,Gold,7500,6,0,0,1,0,0,0,0,0,0,0,0,0.094550144
361283,14,74,A,U,South East,S & S East,Platinum,20245.89,3,0,1,0,0,0,0,0,0,0,0,0,0.2737152317
369225,5,51,C,M,Scottish,C Scotland,Silver,420,8,0,0,0,1,0,0,0,0,0,0,0,0.4495896331
370398,6,51,F,F,South East,S & S East,Silver,200,1,0,0,0,1,0,0,0,0,0,0,0,0.2032868546
371475,11,36,C,M,South East,London,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.3984602845
374644,8,63,F,F,Midlands,Wales & West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,0.3103998482
375330,8,69,C,F,South East,S & S East,Silver,500,9,0,0,0,1,0,0,0,0,0,0,0,0.474475316
376078,11,40,D,F,Midlands,Midlands,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0143401427
380113,4,46,E,F,Midlands,Wales & West,Silver,2165.75,11,0,0,0,1,0,0,0,0,0,0,0,0.3993612749
393347,8,46,D,M,South East,S & S East,Tin,0.01,8,0,0,0,0,1,0,0,0,0,0,0,0.3581709263
396192,8,46,A,F,South East,S & S East,Silver,2245,11,1,0,0,1,0,0,0,0,0,0,0,0.2670174615
400297,11,73,F,U,North,Yorkshire,Platinum,26000,4,0,1,0,0,0,0,0,0,0,0,0,0.1651856392
403768,5,53,B,F,Scottish,Border,Gold,9000,8,0,0,1,0,0,0,0,0,0,0,0,0.1785133882
408964,9,54,A,F,South East,London,Silver,3000,8,0,0,0,1,0,0,0,0,0,0,0,0.0913496167
418943,10,39,C,M,Unknown,Unknown,Tin,0.01,4,1,0,0,0,0,0,0,0,0,1,1,0.2696769057
421979,5,58,E,F,North,N West,Silver,420,4,0,0,0,1,0,0,0,0,0,0,0,0.0078930487
423211,8,33,D,F,North,N East,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.256260133
435961,4,71,A,M,North,Yorkshire,Gold,6000,12,0,0,1,0,0,0,0,0,0,0,0,0.1543055448
439088,10,55,B,M,Scottish,Border,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.1030703439
442542,8,57,D,M,South West,S West,Silver,480,11,0,0,0,1,1,0,0,0,0,0,0,0.5641240247
454702,13,53,B,M,South East,London,Gold,6871.12,5,0,0,1,0,0,0,0,0,0,0,0,0.1488255375
467812,13,43,C,M,North,Yorkshire,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.3182919795
473596,8,47,D,F,South East,London,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.3544728995
486701,9,58,D,F,South East,S & S East,Silver,3000,9,0,0,0,1,0,0,0,0,0,0,0,0.4459098784
492566,8,56,D,F,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.2740630905
498300,5,47,B,F,South East,S & S East,Gold,6000,1,0,0,1,0,0,0,0,0,0,0,0,0.5433153191
500100,14,30,F,F,Midlands,Midlands,Silver,100,1,1,0,0,1,0,0,0,0,0,0,0,0.0920440439
502316,3,68,D,F,South East,S & S East,Platinum,50000,4,1,1,0,0,0,0,0,0,0,0,0,0.0507836645
503053,8,45,D,F,North,N West,Silver,1000,4,0,0,0,1,0,0,0,0,0,0,0,0.438754658
518069,7,71,A,F,South East,London,Gold,12000,6,0,0,1,0,0,0,0,0,0,0,0,0.4006592186
528102,10,74,C,F,South East,London,Gold,19000,5,0,0,1,0,0,0,0,0,0,0,0,0.1553051146
530042,10,43,D,F,North,N West,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.3569476154
532479,11,44,E,F,South West,S West,Silver,500,9,0,0,0,1,0,0,0,0,0,0,0,0.1975920797
543004,9,65,F,U,South East,London,Silver,3000,5,0,0,0,1,0,0,0,0,0,0,0,0.011304691
543683,7,46,D,M,South East,S & S East,Gold,17409.76,12,0,0,1,0,0,0,0,0,0,0,0,0.5360827891
553115,8,29,F,F,Midlands,Midlands,Silver,2000,12,0,0,0,1,0,0,0,0,0,0,0,0.5478357414
580287,7,53,C,F,Midlands,Wales & West,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.3423566331
588784,9,64,E,M,Midlands,Midlands,Silver,1000,12,0,0,0,1,0,0,0,0,0,0,0,0.2708944689
595233,10,49,D,M,South East,S & S East,Silver,3000,5,1,0,0,1,0,0,0,0,0,0,0,0.0843191166
598453,17,59,F,F,South East,London,Gold,12000,8,1,0,1,0,0,0,0,0,0,0,0,0.3108069535
600504,8,37,F,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.371067404
601969,5,60,B,U,South East,London,Gold,10000,2,0,0,1,0,0,0,0,0,1,0,0,0.0141755603
602906,10,64,F,U,North,Yorkshire,Tin,0.01,4,0,0,0,0,0,0,0,0,1,0,0,0.5986085006
604011,3,54,C,F,North,N West,Silver,5000,4,0,0,0,1,0,1,0,0,0,0,0,0.1426886279
606316,15,51,C,F,South East,London,Silver,3000,8,1,0,0,1,0,0,0,0,0,0,0,0.1639218541
607118,8,47,U,F,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,0,1,0,0,0,0.5324442114
611662,5,48,D,U,South East,London,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.5806572049
621358,4,61,C,F,Midlands,Midlands,Gold,6000,1,0,0,1,0,0,0,0,0,0,0,0,0.58545783
633380,7,68,E,M,South East,S & S East,Gold,15000.01,6,0,0,1,0,0,0,0,0,0,0,0,0.2585260948
633542,12,76,F,F,Midlands,Wales & West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,0.2778208131
641022,4,56,D,F,North,Yorkshire,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.3749548804
642568,8,73,A,M,North,N East,Silver,360,1,1,0,0,1,0,0,0,0,0,0,0,0.5561206236
649007,8,37,D,F,Midlands,Midlands,Tin,0.01,9,1,0,0,0,0,0,0,0,0,0,0,0.4627689693
653500,8,32,C,F,Midlands,Midlands,Silver,2500,1,1,0,0,1,1,0,0,0,0,0,0,0.1986198934
669067,10,35,D,F,Scottish,C Scotland,Silver,1500,4,0,0,0,1,0,0,0,0,0,0,0,0.4046140483
672785,6,46,C,F,Scottish,N Scot,Gold,6544.99,1,0,0,1,0,0,0,0,0,0,0,0,0.4615935294
682144,5,70,E,F,South East,London,Platinum,21684.94,0,0,1,0,0,0,0,0,0,0,0,0,0.0005116444
691178,9,37,U,M,Midlands,Ulster,Gold,10000,11,1,0,1,0,0,0,0,1,0,0,0,0.2536668644
693847,4,46,B,U,South East,S & S East,Gold,6000,3,0,0,1,0,0,0,0,0,0,0,0,0.0361442301
708569,3,68,E,U,Scottish,C Scotland,Silver,4000,18,0,0,0,1,0,0,0,0,0,0,0,0.1566670603
723185,12,49,E,F,South East,London,Silver,3000,3,0,0,0,1,0,0,0,0,0,0,0,0.5494853517
734446,4,63,E,F,Midlands,Midlands,Silver,3026.67,7,0,0,0,1,0,0,0,0,0,0,0,0.2805395989
741779,4,62,B,U,Midlands,Midlands,Silver,5000,5,0,0,0,1,0,0,0,0,0,0,0,0.2170644119
742880,5,54,E,F,South East,S & S East,Gold,10000,7,1,0,1,0,0,1,0,0,0,0,0,0.0867080032
755931,8,42,B,F,North,N West,Tin,0.01,4,0,0,0,0,1,0,0,0,0,0,0,0.29226129
764876,7,43,D,F,South East,S & S East,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0494980328
770264,8,64,C,F,South East,London,Gold,12000,2,0,0,1,0,0,0,0,0,0,0,0,0.2737222785
779199,9,45,F,F,Midlands,Wales & West,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.4390485428
795267,17,54,A,F,South East,London,Silver,1000,13,1,0,0,1,0,1,0,0,0,0,0,0.5331501227
796026,9,40,C,F,South East,London,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.4725940821
802069,7,70,B,F,South East,S & S East,Gold,12000,2,0,0,1,0,0,0,0,0,0,0,0,0.2142271186
804061,20,54,C,F,South East,S & S East,Silver,480,1,1,0,0,1,0,1,0,0,0,0,0,0.5653167425
806994,6,56,F,U,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.5473387486
811831,15,32,F,U,North,Yorkshire,Tin,0.01,5,1,0,0,0,0,0,0,0,1,0,0,0.1060994855
823066,8,65,B,U,South East,London,Silver,50,7,0,0,0,1,0,0,0,0,1,0,0,0.2869749341
830380,8,43,D,F,South East,London,Silver,50,10,0,0,0,1,0,0,0,0,0,0,0,0.0739910067
836222,7,42,C,M,Scottish,N Scot,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.1169854533
841013,4,22,A,U,Midlands,Midlands,Gold,6000,3,0,0,1,0,0,0,0,0,0,0,0,0.0079550617
842486,8,31,E,U,Midlands,East,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0916084783
851396,9,54,F,M,South East,London,Silver,600,7,0,0,0,1,0,1,0,0,0,0,0,0.5567960756
856916,8,54,D,M,Scottish,C Scotland,Gold,12000,8,0,0,1,0,0,0,0,0,0,0,0,0.2226235784
870307,9,53,B,M,North,Yorkshire,Gold,6000,3,0,0,1,0,0,0,0,0,0,0,0,0.4023100521
875694,8,63,D,U,South West,S West,Gold,6000,2,0,0,1,0,0,0,0,0,1,0,0,0.5245310732
878812,7,65,B,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.1924648575
889199,14,39,E,F,Midlands,Midlands,Silver,50,10,1,0,0,1,0,0,0,0,0,0,0,0.3309949456
897485,9,42,F,F,Scottish,C Scotland,Gold,6000,2,1,0,1,0,0,0,0,0,0,0,0,0.5012280277
922366,7,78,U,F,Midlands,Ulster,Silver,1250,5,0,0,0,1,0,0,0,1,0,0,0,0.1948218761
946311,9,54,C,M,South East,London,Silver,3000,3,0,0,0,1,0,1,0,0,0,0,0,0.361167093
951897,9,38,D,F,Midlands,East,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.1167967874
952729,11,42,C,M,North,N West,Gold,6041.13,5,0,0,1,0,0,0,0,0,0,0,0,0.1280536596
963194,9,75,C,F,South East,London,Gold,6000,1,0,0,1,0,0,0,0,0,0,0,0,0.3798312663
966932,8,50,D,F,South East,London,Silver,50,8,0,0,0,1,0,0,0,0,0,0,0,0.0038320217
1002422,7,54,D,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.3701269293
1004301,6,54,F,M,Midlands,East,Gold,6000,2,0,0,1,0,0,1,0,0,0,0,0,0.0436888659
1008129,8,55,C,M,South East,London,Silver,1000,5,0,0,0,1,0,0,0,0,0,0,0,0.3835980493
1009931,11,59,D,F,Midlands,Midlands,Silver,1500,2,0,0,0,1,0,0,0,0,0,0,0,0.1996470956
1012509,6,44,F,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.3907546277
1018361,5,72,A,U,Midlands,Midlands,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,0.5881078521
1022334,8,38,F,M,Midlands,Wales & West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.55711538
1029592,11,54,D,M,South East,London,Tin,0.01,4,1,0,0,0,0,1,0,0,0,0,0,0.0250342628
1036084,11,50,D,U,North,N East,Silver,3000,8,0,0,0,1,0,0,0,0,1,0,0,0.3128433681
1040227,7,66,C,F,Midlands,Wales & West,Gold,9000,8,0,0,1,0,0,0,0,0,0,0,0,0.5776484947
1041231,7,61,C,U,Midlands,Midlands,Gold,6107.64,5,0,0,1,0,0,0,1,0,1,0,0,0.0597963417
1054015,6,78,F,F,South East,London,Gold,7500,5,0,0,1,0,0,0,0,0,0,0,0,0.1445598072
1055682,9,55,B,M,Midlands,East,Gold,5672.31,2,0,0,1,0,0,0,0,0,0,0,0,0.2522272799
1060228,7,49,F,M,Midlands,Midlands,Gold,10000,3,0,0,1,0,0,0,0,0,0,0,0,0.2109404049
1061348,13,70,B,U,South East,London,Silver,2884.96,8,0,0,0,1,0,0,0,0,1,0,0,0.4136510922
1068601,6,45,D,F,Midlands,Midlands,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.2977238201
1070037,5,73,F,F,Scottish,C Scotland,Silver,600,32,0,0,0,1,0,0,0,0,0,0,0,0.2274218249
1084607,9,57,C,F,Midlands,Midlands,Gold,9052.66,7,0,0,1,0,0,0,0,0,0,0,0,0.4301206704
1087452,6,54,E,F,Midlands,Midlands,Silver,2000,27,0,0,0,1,0,1,0,0,0,0,0,0.211576413
1091085,10,63,D,M,North,N West,Gold,6053.34,4,0,0,1,0,0,0,0,0,0,0,0,0.4358777681
1097474,20,39,C,M,North,N West,Tin,0.01,8,1,0,0,0,0,0,0,0,0,0,0,0.0616918616
1098918,7,35,C,F,Midlands,Midlands,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.0052864645
1101579,8,58,F,F,Midlands,Wales & West,Silver,1930,9,0,0,0,1,0,0,0,0,0,0,0,0.3303118
1103288,10,40,C,F,Midlands,Midlands,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.2729459728
1108646,9,61,A,F,South East,London,Gold,12150,11,0,0,1,0,0,0,0,0,0,0,0,0.0239067469
1115014,12,54,D,F,Midlands,Midlands,Gold,9000,11,0,0,1,0,0,1,0,0,0,0,0,0.1636855817
1117629,7,54,D,F,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,1,0,0,0,0,0,0.1891796194
1128353,5,70,F,F,North,N West,Silver,3500,5,0,0,0,1,0,0,0,0,0,0,0,0.3257130614
1131451,6,60,A,F,Midlands,Wales & West,Gold,10000,4,0,0,1,0,0,0,0,0,0,0,0,0.4627529976
1134051,14,77,B,F,South East,S & S East,Silver,4884.25,11,0,0,0,1,0,0,0,0,0,0,0,0.1674375661
1136585,7,67,D,F,Midlands,Wales & West,Silver,3000,5,0,0,0,1,0,0,0,0,0,0,0,0.3865466725
1138235,18,37,C,F,Midlands,Midlands,Silver,50.01,8,1,0,0,1,0,0,0,0,0,0,0,0.3577958268
1143662,8,35,F,U,North,N West,Gold,5044.46,5,0,0,1,0,0,0,0,0,1,0,0,0.2177743843
1150820,5,58,C,F,Scottish,N Scot,Gold,6000,22,0,0,1,0,0,0,0,0,0,0,0,0.0086375079
1151037,6,27,D,F,South East,S & S East,Silver,5,7,0,0,0,1,0,0,0,0,0,0,0,0.5061106605
1154958,5,72,B,U,South East,London,Platinum,32050,12,0,1,0,0,0,0,0,0,0,0,0,0.3683619557
1162020,7,54,F,F,Midlands,Wales & West,Tin,0.01,2,0,0,0,0,0,1,0,0,0,0,0,0.3490148002
1164910,7,51,E,M,North,N West,Tin,0.01,10,0,0,0,0,0,0,0,0,0,0,0,0.5077942812
1176846,9,31,F,F,Unknown,Unknown,Silver,1064.45,1,1,0,0,1,0,0,0,0,0,1,1,0.4177570163
1178520,10,58,F,F,Midlands,Wales & West,Silver,3000.01,8,0,0,0,1,0,0,0,0,0,0,0,0.1856858261
1179462,10,73,E,F,Midlands,Wales & West,Tin,0.01,6,0,0,0,0,0,0,0,0,0,0,0,0.3192475346
1191357,9,54,U,U,Midlands,Wales & West,Silver,2000,4,0,0,0,1,0,1,0,1,0,0,0,0.5827696396
