@relation 'organics_Training-weka.filters.unsupervised.attribute.Remove-R1,4,6-10,12-14,17-18,20-22-weka.filters.unsupervised.attribute.NumericToNominal-R3-7'

@attribute DemAffl numeric
@attribute DemAge numeric
@attribute DemGender {U,F,M}
@attribute TargetBuy {0,1}
@attribute DemAffl_M {0,1}
@attribute DemAge_M {0,1}
@attribute DemGender_M {0,1}

@data
8,50,F,0,0,0,0
7,54,F,0,0,0,0
6,54,M,0,0,1,0
8,55,M,0,0,0,0
11,59,F,0,0,0,0
6,44,F,0,0,0,0
5,72,U,0,0,0,0
8,38,M,0,0,0,0
11,54,M,1,0,1,0
11,50,U,0,0,0,1
7,66,F,0,0,0,0
7,61,U,0,0,0,1
6,78,F,0,0,0,0
9,55,M,0,0,0,0
7,49,M,0,0,0,0
13,70,U,0,0,0,1
6,45,F,0,0,0,0
5,73,F,0,0,0,0
9,57,F,0,0,0,0
6,54,F,0,0,1,0
10,63,M,0,0,0,0
20,39,M,1,0,0,0
7,35,F,1,0,0,0
8,58,F,0,0,0,0
10,40,F,1,0,0,0
9,61,F,0,0,0,0
12,54,F,0,0,1,0
7,54,F,0,0,1,0
5,70,F,0,0,0,0
6,60,F,0,0,0,0
14,77,F,0,0,0,0
7,67,F,0,0,0,0
18,37,F,1,0,0,0
8,35,U,0,0,0,1
5,58,F,0,0,0,0
6,27,F,0,0,0,0
5,72,U,0,0,0,0
7,54,F,0,0,1,0
7,51,M,0,0,0,0
9,31,F,1,0,0,0
10,58,F,0,0,0,0
10,73,F,0,0,0,0
9,54,U,0,0,1,0
10,33,F,0,0,0,0
6,67,U,0,0,0,0
8,78,M,0,1,0,0
9,50,F,0,0,0,0
8,76,U,0,0,0,0
13,54,F,0,0,0,0
13,45,F,0,0,0,0
8,72,F,0,1,0,0
7,41,U,0,0,0,1
9,66,M,0,0,0,0
5,52,M,0,0,0,0
6,60,F,0,0,0,0
8,57,F,0,1,0,0
8,41,F,0,1,0,0
9,68,M,0,0,0,0
14,47,F,0,0,0,0
3,70,F,0,0,0,0
10,40,M,0,0,0,0
9,44,F,0,0,0,0
5,54,U,0,0,1,1
9,22,F,1,0,0,0
8,65,M,0,1,0,0
7,52,F,0,0,0,0
9,48,F,0,0,0,0
10,61,F,1,0,0,0
8,55,M,0,0,0,0
10,52,U,0,0,0,0
8,68,F,0,1,0,0
5,76,F,1,0,0,0
11,47,M,0,0,0,0
12,60,F,0,0,0,0
3,59,F,0,0,0,0
8,69,M,0,0,0,0
7,27,F,1,0,0,0
18,41,F,1,0,0,0
8,36,U,1,1,0,0
4,64,F,0,0,0,0
8,45,M,0,0,0,0
10,46,F,0,0,0,0
2,50,U,0,0,0,1
6,75,F,0,0,0,0
11,62,M,0,0,0,0
8,39,U,1,1,0,1
11,25,F,1,0,0,0
5,46,F,0,0,0,0
10,39,U,1,0,0,0
6,56,F,0,0,0,0
6,56,U,0,0,0,0
5,77,M,0,0,0,0
9,63,M,0,0,0,0
12,68,F,0,0,0,0
17,43,F,1,0,0,0
8,47,U,0,0,0,1
6,45,F,0,0,0,0
10,64,U,0,0,0,1
12,37,F,1,0,0,0
5,57,U,0,0,0,1
6,41,U,0,0,0,1
10,44,M,0,0,0,0
9,51,F,0,0,0,0
18,54,F,1,0,0,0
8,54,M,0,0,1,0
3,51,M,0,0,0,0
8,56,M,1,0,0,0
4,33,F,0,0,0,0
8,59,F,1,1,0,0
11,67,U,0,0,0,1
7,72,M,0,0,0,0
8,28,M,0,0,0,0
10,39,F,1,0,0,0
11,43,F,1,0,0,0
10,50,M,0,0,0,0
8,67,U,0,0,0,0
9,55,M,0,0,0,0
8,32,M,1,0,0,0
5,71,U,0,0,0,1
11,57,F,1,0,0,0
5,34,F,0,0,0,0
6,69,M,0,0,0,0
6,67,M,0,0,0,0
4,73,F,0,0,0,0
9,74,F,0,0,0,0
4,49,F,0,0,0,0
8,49,F,0,0,0,0
5,58,F,0,0,0,0
8,36,M,0,1,0,0
8,43,F,0,0,0,0
5,76,U,0,0,0,0
8,78,F,1,0,0,0
4,76,F,0,0,0,0
15,48,F,1,0,0,0
7,68,M,0,0,0,0
7,61,M,0,0,0,0
7,56,U,0,0,0,1
8,39,U,0,0,0,1
11,35,F,1,0,0,0
8,55,M,0,0,0,0
7,47,U,0,0,0,1
6,63,M,0,0,0,0
7,33,F,0,0,0,0
7,50,M,0,0,0,0
11,45,F,0,0,0,0
6,49,F,1,0,0,0
8,62,F,0,0,0,0
9,67,M,0,0,0,0
9,59,F,0,0,0,0
9,50,M,0,0,0,0
7,35,F,1,0,0,0
12,68,F,1,0,0,0
19,38,F,1,0,0,0
11,32,F,0,0,0,0
7,30,F,1,0,0,0
10,59,F,1,0,0,0
8,53,U,0,0,0,0
12,53,F,0,0,0,0
13,53,F,1,0,0,0
7,48,M,0,0,0,0
8,73,F,1,1,0,0
14,76,F,1,0,0,0
11,44,F,1,0,0,0
6,35,F,0,0,0,0
9,50,F,0,0,0,0
8,69,U,0,0,0,1
9,54,F,1,0,1,0
22,30,F,1,0,0,0
10,44,F,0,0,0,0
7,43,U,1,0,0,1
7,23,F,1,0,0,0
5,58,U,0,0,0,1
12,54,F,1,0,1,0
8,57,U,0,0,0,1
8,42,F,0,0,0,0
9,46,F,0,0,0,0
17,33,U,0,0,0,0
7,54,M,0,0,0,0
16,37,F,1,0,0,0
3,58,M,0,0,0,0
8,45,U,0,0,0,1
8,37,F,0,1,0,0
10,54,F,1,0,0,0
8,55,M,0,0,0,0
7,40,M,0,0,0,0
3,55,F,0,0,0,0
5,57,U,0,0,0,0
10,63,F,0,0,0,0
10,53,U,0,0,0,1
14,70,M,0,0,0,0
14,56,U,0,0,0,0
12,49,F,0,0,0,0
12,70,M,1,0,0,0
3,77,F,0,0,0,0
8,54,F,0,1,0,0
5,48,U,0,0,0,1
5,68,F,0,0,0,0
7,73,M,1,0,0,0
11,67,F,1,0,0,0
10,56,F,0,0,0,0
7,56,F,0,0,0,0
8,31,U,0,1,0,1
13,42,U,1,0,0,1
6,50,M,0,0,0,0
7,51,M,0,0,0,0
12,25,F,1,0,0,0
10,50,F,0,0,0,0
7,55,U,0,0,0,0
10,67,F,0,0,0,0
8,54,U,0,0,1,1
12,43,F,0,0,0,0
5,45,F,0,0,0,0
9,54,F,0,0,1,0
5,52,M,0,0,0,0
7,61,F,0,0,0,0
8,63,F,0,0,0,0
15,53,F,0,0,0,0
8,65,U,0,1,0,0
2,40,M,0,0,0,0
7,53,M,0,0,0,0
12,64,U,0,0,0,1
16,28,U,1,0,0,0
6,70,F,1,0,0,0
12,65,F,1,0,0,0
13,57,F,0,0,0,0
9,67,U,1,0,0,1
6,73,F,0,0,0,0
11,64,F,0,0,0,0
6,32,F,1,0,0,0
2,58,F,0,0,0,0
6,70,F,0,0,0,0
16,60,M,0,0,0,0
9,72,M,0,0,0,0
5,62,F,0,0,0,0
7,59,F,0,0,0,0
8,53,M,0,0,0,0
7,60,U,0,0,0,0
20,62,F,1,0,0,0
6,32,F,1,0,0,0
12,37,F,1,0,0,0
8,62,F,0,0,0,0
8,68,F,0,0,0,0
9,51,F,0,0,0,0
6,55,F,1,0,0,0
9,36,M,1,0,0,0
8,31,F,1,1,0,0
7,67,M,0,0,0,0
13,68,M,0,0,0,0
4,76,U,0,0,0,1
8,54,F,1,1,1,0
16,47,F,1,0,0,0
6,52,U,0,0,0,1
6,44,F,0,0,0,0
9,54,M,0,0,1,0
7,29,M,1,0,0,0
6,61,M,0,0,0,0
8,70,F,0,0,0,0
5,43,F,1,0,0,0
6,77,F,0,0,0,0
25,36,F,1,0,0,0
8,38,F,1,0,0,0
15,58,M,0,0,0,0
13,46,U,1,0,0,1
11,63,M,0,0,0,0
4,75,F,0,0,0,0
7,54,F,1,0,0,0
8,64,F,0,1,0,0
15,44,F,1,0,0,0
6,46,F,0,0,0,0
8,67,F,1,0,0,0
7,45,F,0,0,0,0
7,37,F,0,0,0,0
7,55,F,0,0,0,0
10,55,F,0,0,0,0
7,54,U,0,0,1,1
8,75,F,0,0,0,0
6,44,F,1,0,0,0
7,47,M,0,0,0,0
3,58,F,0,0,0,0
6,65,F,0,0,0,0
8,57,U,0,0,0,1
6,44,F,0,0,0,0
5,49,F,0,0,0,0
12,38,F,0,0,0,0
8,46,F,0,0,0,0
10,28,F,1,0,0,0
7,63,M,0,0,0,0
14,54,M,0,0,1,0
6,73,F,0,0,0,0
5,74,F,0,0,0,0
9,62,U,0,0,0,1
12,54,U,1,0,1,1
9,44,U,1,0,0,1
11,58,F,1,0,0,0
10,58,F,0,0,0,0
8,69,M,0,0,0,0
8,72,M,1,0,0,0
12,33,F,1,0,0,0
8,59,U,0,0,0,1
9,68,F,0,0,0,0
16,49,F,1,0,0,0
14,45,M,0,0,0,0
12,73,U,0,0,0,0
9,32,F,1,0,0,0
9,62,F,0,0,0,0
11,58,M,0,0,0,0
6,67,U,0,0,0,1
5,58,M,0,0,0,0
13,48,F,1,0,0,0
10,57,F,1,0,0,0
4,65,F,1,0,0,0
8,75,M,1,0,0,0
6,74,M,0,0,0,0
6,76,F,0,0,0,0
5,36,F,0,0,0,0
10,37,F,0,0,0,0
13,35,F,1,0,0,0
12,54,M,1,0,1,0
9,43,F,1,0,0,0
8,57,U,0,0,0,0
13,62,F,0,0,0,0
10,46,M,0,0,0,0
7,66,M,0,0,0,0
8,55,M,0,0,0,0
8,53,M,0,0,0,0
9,54,U,0,0,1,1
14,58,F,1,0,0,0
8,54,M,0,0,1,0
8,56,F,0,0,0,0
8,51,F,0,0,0,0
10,55,U,0,0,0,1
8,57,M,0,0,0,0
11,36,F,1,0,0,0
7,51,U,0,0,0,1
5,58,F,0,0,0,0
7,65,F,0,0,0,0
6,59,U,0,0,0,0
7,62,M,0,0,0,0
6,41,F,1,0,0,0
9,74,F,0,0,0,0
8,32,F,0,0,0,0
13,49,F,0,0,0,0
10,28,U,0,0,0,0
12,63,M,0,0,0,0
12,76,M,0,0,0,0
12,54,U,1,0,1,0
10,54,M,0,0,1,0
8,59,F,1,0,0,0
8,71,F,0,0,0,0
11,48,F,1,0,0,0
5,58,U,0,0,0,1
6,57,U,0,0,0,1
7,53,M,0,0,0,0
7,69,M,0,0,0,0
12,52,U,0,0,0,1
8,42,F,0,1,0,0
16,58,F,0,0,0,0
11,54,M,0,0,0,0
8,51,F,0,0,0,0
11,54,F,0,0,0,0
16,69,F,0,0,0,0
11,49,F,0,0,0,0
12,49,F,1,0,0,0
9,55,F,1,0,0,0
9,61,M,0,0,0,0
4,49,M,0,0,0,0
8,48,U,0,1,0,1
8,72,F,1,0,0,0
14,52,F,1,0,0,0
7,53,U,0,0,0,1
11,37,F,0,0,0,0
5,54,F,0,0,1,0
3,69,U,0,0,0,1
5,74,F,0,0,0,0
11,47,U,0,0,0,1
11,53,F,1,0,0,0
8,46,F,0,0,0,0
11,50,U,0,0,0,1
8,56,M,0,0,0,0
8,44,F,0,0,0,0
24,37,M,1,0,0,0
15,71,F,1,0,0,0
7,51,F,0,0,0,0
9,60,F,0,0,0,0
6,52,F,0,0,0,0
12,74,M,1,0,0,0
5,23,M,0,0,0,0
6,50,U,0,0,0,0
9,72,U,0,0,0,1
12,60,U,0,0,0,1
5,20,F,1,0,0,0
11,63,F,1,0,0,0
12,61,F,0,0,0,0
4,43,F,0,0,0,0
9,63,U,0,0,0,0
10,53,F,0,0,0,0
8,56,F,0,1,0,0
7,43,U,0,0,0,0
10,51,F,0,0,0,0
7,31,F,0,0,0,0
11,24,F,1,0,0,0
2,61,U,0,0,0,0
13,54,F,0,0,1,0
20,48,M,1,0,0,0
4,77,F,0,0,0,0
8,59,F,0,0,0,0
7,67,M,0,0,0,0
6,54,M,0,0,1,0
10,57,U,0,0,0,1
11,36,F,1,0,0,0
12,41,F,1,0,0,0
8,48,M,0,0,0,0
5,36,F,1,0,0,0
9,67,F,0,0,0,0
10,63,U,0,0,0,0
16,70,F,1,0,0,0
10,36,F,1,0,0,0
7,33,U,0,0,0,0
8,44,M,0,0,0,0
8,64,F,0,0,0,0
5,28,F,1,0,0,0
12,64,M,0,0,0,0
8,51,F,0,0,0,0
6,27,U,1,0,0,0
8,40,M,0,0,0,0
9,38,F,1,0,0,0
5,51,M,0,0,0,0
6,45,U,0,0,0,0
12,50,U,0,0,0,1
8,56,U,0,0,0,1
11,70,F,1,0,0,0
5,40,U,0,0,0,0
13,48,F,0,0,0,0
5,28,F,0,0,0,0
4,62,F,0,0,0,0
11,70,M,1,0,0,0
9,57,M,0,0,0,0
10,36,F,1,0,0,0
13,55,M,1,0,0,0
14,50,F,0,0,0,0
9,76,M,0,0,0,0
8,59,U,0,1,0,1
8,39,F,1,0,0,0
6,65,F,1,0,0,0
10,47,F,0,0,0,0
11,51,F,0,0,0,0
8,52,F,0,0,0,0
7,64,F,0,0,0,0
7,43,F,0,0,0,0
26,55,F,1,0,0,0
15,62,U,0,0,0,1
10,56,F,1,0,0,0
6,57,M,0,0,0,0
18,33,F,1,0,0,0
14,36,F,0,0,0,0
9,19,F,0,0,0,0
7,69,F,0,0,0,0
4,43,U,0,0,0,1
6,53,F,0,0,0,0
8,57,U,0,0,0,1
7,63,F,0,0,0,0
9,61,U,0,0,0,1
11,57,M,1,0,0,0
7,58,F,0,0,0,0
16,55,U,1,0,0,1
4,49,U,0,0,0,0
20,41,F,1,0,0,0
14,52,F,1,0,0,0
11,52,M,0,0,0,0
17,52,M,0,0,0,0
7,54,F,0,0,1,0
14,62,M,0,0,0,0
12,62,F,0,0,0,0
5,49,F,0,0,0,0
5,69,U,0,0,0,1
8,60,M,0,0,0,0
6,62,F,0,0,0,0
9,44,F,1,0,0,0
9,67,U,0,0,0,0
5,54,F,0,0,0,0
15,44,F,1,0,0,0
5,54,F,0,0,1,0
11,29,F,1,0,0,0
2,54,F,0,0,0,0
6,51,M,0,0,0,0
15,65,F,1,0,0,0
9,47,U,0,0,0,0
7,49,F,0,0,0,0
12,49,U,0,0,0,1
9,67,F,0,0,0,0
10,54,F,1,0,1,0
9,48,M,0,0,0,0
5,35,U,0,0,0,0
8,62,M,0,0,0,0
4,54,U,0,0,1,1
8,40,F,1,0,0,0
6,51,F,0,0,0,0
10,47,F,0,0,0,0
7,38,M,0,0,0,0
6,73,F,0,0,0,0
13,77,F,0,0,0,0
6,70,F,0,0,0,0
4,70,U,0,0,0,1
3,41,M,0,0,0,0
10,54,U,0,0,1,1
13,52,M,0,0,0,0
17,54,U,0,0,0,0
5,67,M,0,0,0,0
13,64,F,1,0,0,0
8,71,F,1,0,0,0
8,45,F,0,0,0,0
6,67,F,0,0,0,0
6,37,M,0,0,0,0
4,51,U,0,0,0,1
7,69,U,0,0,0,0
10,47,M,0,0,0,0
10,72,F,0,0,0,0
5,68,M,0,0,0,0
9,49,M,0,0,0,0
9,44,F,0,0,0,0
6,54,M,0,0,1,0
10,36,F,1,0,0,0
7,59,F,0,0,0,0
8,51,F,0,0,0,0
15,26,F,1,0,0,0
7,64,U,0,0,0,1
5,41,F,0,0,0,0
8,65,F,1,0,0,0
6,69,F,0,0,0,0
12,55,F,0,0,0,0
6,54,U,0,0,1,0
8,59,M,0,1,0,0
9,76,M,1,0,0,0
7,63,F,0,0,0,0
10,67,U,0,0,0,1
2,43,M,0,0,0,0
9,75,F,0,0,0,0
14,72,F,0,0,0,0
10,70,F,0,0,0,0
11,66,M,0,0,0,0
8,64,M,0,0,0,0
11,42,F,1,0,0,0
4,69,F,0,0,0,0
13,74,F,0,0,0,0
9,57,U,0,0,0,1
8,46,U,0,1,0,1
12,40,U,0,0,0,1
5,35,F,0,0,0,0
8,48,U,0,0,0,0
10,53,M,0,0,0,0
14,54,F,1,0,0,0
3,48,F,0,0,0,0
5,47,U,0,0,0,1
4,29,M,0,0,0,0
9,33,F,1,0,0,0
3,55,F,0,0,0,0
11,32,F,1,0,0,0
12,69,F,0,0,0,0
6,52,F,0,0,0,0
9,54,U,0,0,1,0
1,46,F,0,0,0,0
5,35,U,0,0,0,0
11,41,M,0,0,0,0
14,48,F,1,0,0,0
13,76,F,1,0,0,0
5,43,F,0,0,0,0
10,44,U,0,0,0,0
8,35,F,0,1,0,0
9,32,F,0,0,0,0
10,48,F,0,0,0,0
6,58,F,0,0,0,0
10,44,F,1,0,0,0
6,45,U,0,0,0,0
12,70,M,0,0,0,0
15,45,U,0,0,0,1
10,53,U,0,0,0,0
4,64,U,0,0,0,1
8,76,M,0,1,0,0
7,51,F,0,0,0,0
6,52,F,0,0,0,0
6,46,F,0,0,0,0
5,59,M,1,0,0,0
4,76,M,0,0,0,0
7,24,F,1,0,0,0
3,76,U,0,0,0,0
4,50,F,0,0,0,0
6,44,U,0,0,0,0
8,59,F,0,0,0,0
6,76,M,1,0,0,0
6,39,M,0,0,0,0
10,56,F,0,0,0,0
10,59,F,0,0,0,0
9,72,F,1,0,0,0
11,64,F,1,0,0,0
9,43,F,0,0,0,0
11,64,U,0,0,0,0
3,67,M,0,0,0,0
8,67,F,0,0,0,0
8,62,F,0,0,0,0
7,67,F,0,0,0,0
7,53,F,1,0,0,0
6,50,M,0,0,0,0
8,49,F,0,1,0,0
7,66,F,0,0,0,0
8,54,F,1,0,1,0
9,53,M,0,0,0,0
13,54,F,0,0,1,0
6,70,U,0,0,0,0
9,41,U,1,0,0,1
3,64,F,0,0,0,0
8,72,F,0,1,0,0
13,73,F,0,0,0,0
11,58,F,0,0,0,0
6,43,M,0,0,0,0
10,53,F,0,0,0,0
15,72,F,0,0,0,0
8,56,F,0,0,0,0
7,66,M,0,0,0,0
10,54,F,0,0,1,0
8,49,U,0,1,0,0
7,45,M,0,0,0,0
8,54,F,1,0,1,0
4,64,F,0,0,0,0
8,67,F,1,1,0,0
6,70,F,0,0,0,0
5,63,U,0,0,0,0
9,62,F,1,0,0,0
9,50,U,0,0,0,0
16,41,M,0,0,0,0
8,63,F,0,1,0,0
7,47,M,0,0,0,0
6,54,M,0,0,1,0
10,69,M,0,0,0,0
4,50,M,0,0,0,0
12,32,F,1,0,0,0
18,52,F,1,0,0,0
3,57,F,0,0,0,0
9,66,M,0,0,0,0
5,64,F,0,0,0,0
5,26,F,0,0,0,0
8,60,U,0,0,0,1
9,47,U,0,0,0,1
5,28,F,0,0,0,0
9,55,U,0,0,0,0
3,58,F,0,0,0,0
13,62,F,0,0,0,0
13,58,F,0,0,0,0
7,58,F,0,0,0,0
9,61,M,0,0,0,0
8,48,M,0,0,0,0
9,39,F,1,0,0,0
13,44,F,0,0,0,0
4,74,F,0,0,0,0
7,61,M,0,0,0,0
4,41,F,0,0,0,0
9,42,U,0,0,0,1
9,48,M,0,0,0,0
12,40,U,0,0,0,1
15,50,F,0,0,0,0
6,75,F,0,0,0,0
9,69,U,0,0,0,0
6,67,F,0,0,0,0
7,61,U,0,0,0,1
9,31,U,0,0,0,0
9,75,M,0,0,0,0
7,54,U,0,0,1,0
6,71,F,0,0,0,0
7,68,U,0,0,0,1
10,66,M,0,0,0,0
17,50,M,0,0,0,0
8,65,F,1,0,0,0
6,48,F,0,0,0,0
6,55,M,0,0,0,0
11,38,F,0,0,0,0
11,51,F,0,0,0,0
10,47,M,0,0,0,0
12,53,F,0,0,0,0
12,55,F,0,0,0,0
13,60,U,0,0,0,0
7,58,M,0,0,0,0
9,48,F,0,0,0,0
7,66,U,0,0,0,0
12,65,M,1,0,0,0
12,62,M,0,0,0,0
6,54,F,0,0,1,0
10,38,U,1,0,0,0
3,61,F,0,0,0,0
16,31,F,1,0,0,0
7,78,F,0,0,0,0
7,47,M,0,0,0,0
5,64,F,0,0,0,0
13,54,F,1,0,1,0
8,57,M,0,0,0,0
5,33,F,0,0,0,0
11,59,M,0,0,0,0
3,71,F,0,0,0,0
7,54,M,0,0,1,0
11,72,U,0,0,0,1
8,59,F,0,0,0,0
6,61,F,0,0,0,0
9,71,F,0,0,0,0
7,45,F,0,0,0,0
7,66,U,0,0,0,1
12,55,F,0,0,0,0
8,76,U,0,0,0,1
5,66,U,0,0,0,1
8,64,F,0,1,0,0
2,75,U,0,0,0,0
9,30,F,1,0,0,0
6,52,F,0,0,0,0
8,53,F,0,1,0,0
12,45,F,0,0,0,0
9,38,F,1,0,0,0
6,66,U,0,0,0,1
4,30,U,0,0,0,1
7,41,F,0,0,0,0
7,62,M,0,0,0,0
12,33,M,1,0,0,0
16,57,F,1,0,0,0
6,48,F,0,0,0,0
8,39,U,1,0,0,1
8,43,M,0,0,0,0
7,62,M,0,0,0,0
12,60,M,0,0,0,0
8,58,F,0,1,0,0
13,79,F,1,0,0,0
9,51,M,0,0,0,0
12,35,M,0,0,0,0
8,54,F,1,0,1,0
9,48,F,1,0,0,0
13,58,F,0,0,0,0
10,47,M,0,0,0,0
13,60,U,0,0,0,1
5,51,U,0,0,0,0
8,52,F,0,0,0,0
4,73,U,0,0,0,1
8,34,U,0,0,0,0
2,72,F,0,0,0,0
10,64,F,1,0,0,0
8,37,M,0,1,0,0
3,43,F,0,0,0,0
8,65,F,0,1,0,0
10,31,F,1,0,0,0
10,54,F,0,0,1,0
10,62,M,0,0,0,0
8,39,M,1,0,0,0
8,41,F,1,0,0,0
5,64,F,0,0,0,0
8,39,U,0,0,0,1
8,44,F,1,0,0,0
15,61,F,1,0,0,0
9,52,U,0,0,0,0
8,58,U,0,0,0,1
12,69,F,0,0,0,0
5,64,F,0,0,0,0
10,60,M,1,0,0,0
7,52,U,0,0,0,0
9,45,F,0,0,0,0
5,45,U,0,0,0,0
7,79,F,0,0,0,0
13,61,F,0,0,0,0
7,74,U,0,0,0,1
6,78,F,0,0,0,0
8,60,M,0,0,0,0
7,60,M,0,0,0,0
8,54,F,0,1,1,0
10,50,F,1,0,0,0
6,66,M,0,0,0,0
14,51,F,0,0,0,0
7,59,F,0,0,0,0
6,31,F,1,0,0,0
9,65,F,0,0,0,0
12,54,F,0,0,1,0
6,40,F,0,0,0,0
7,45,F,0,0,0,0
10,54,U,0,0,0,1
