@relation 'organics_s10_Training-weka.filters.unsupervised.attribute.Remove-R1-2,4,6-10,12-14,17-18,20-23,25-weka.filters.unsupervised.attribute.NumericToNominal-R2-6'

@attribute DemAge numeric
@attribute DemGender {U,F,M}
@attribute TargetBuy {0,1}
@attribute DemAffl_M {0,1}
@attribute DemAge_M {0,1}
@attribute DemGender_M {0,1}
@attribute DemAffl_Log numeric

@data
57,F,0,0,0,0,1.791759
52,F,1,0,0,0,2.197225
74,F,0,0,0,0,2.564949
79,F,0,0,0,0,2.302585
48,U,0,0,0,1,1.94591
58,F,0,0,0,0,2.302585
45,F,0,0,0,0,1.386294
42,F,0,0,0,0,2.302585
40,U,0,0,0,0,2.397895
55,U,0,0,0,1,1.791759
27,F,1,0,0,0,2.484907
60,F,0,0,0,0,1.609438
58,U,0,0,0,0,2.079442
42,M,0,0,0,0,2.079442
36,F,1,0,0,0,2.397895
54,F,1,0,1,0,1.94591
54,F,1,0,1,0,2.397895
76,F,1,0,0,0,2.302585
54,F,0,0,1,0,2.70805
61,F,0,0,0,0,2.564949
47,M,0,0,0,0,2.302585
52,U,0,0,0,0,2.197225
40,U,0,0,0,0,2.197225
56,F,0,0,0,0,1.791759
50,F,0,0,0,0,2.302585
41,F,1,0,0,0,2.197225
60,M,0,0,0,0,2.197225
70,F,0,0,0,0,2.397895
50,F,1,0,0,0,2.302585
37,F,1,0,0,0,2.772589
74,F,0,0,0,0,2.302585
49,U,0,0,0,1,2.197225
53,M,0,0,0,0,2.302585
54,F,0,0,1,0,1.609438
59,U,0,1,0,0,2.197225
63,U,0,0,0,1,2.079442
51,F,0,0,0,0,2.079442
39,M,1,0,0,0,2.397895
53,M,1,0,0,0,1.94591
48,F,0,0,0,0,2.079442
43,F,0,0,0,0,1.94591
67,F,0,0,0,0,1.386294
45,F,0,0,0,0,1.098612
68,F,0,0,0,0,2.639057
74,U,0,0,0,0,2.70805
51,M,0,0,0,0,1.791759
51,F,0,0,0,0,1.94591
36,M,0,0,0,0,2.484907
63,F,0,0,0,0,2.197225
69,F,0,0,0,0,2.197225
40,F,1,0,0,0,2.484907
46,F,0,0,0,0,1.609438
46,M,0,1,0,0,2.197225
46,F,1,0,0,0,2.197225
73,U,0,0,0,0,2.484907
53,F,0,0,0,0,1.791759
54,F,0,0,0,0,2.302585
39,M,1,0,0,0,2.397895
58,F,0,0,0,0,1.791759
33,F,1,0,0,0,2.197225
71,M,0,0,0,0,1.609438
55,M,0,0,0,0,2.397895
57,M,0,1,0,0,2.197225
53,M,0,0,0,0,2.639057
43,M,0,0,0,0,2.639057
47,F,0,0,0,0,2.197225
58,F,0,0,0,0,2.302585
56,F,0,0,0,0,2.197225
47,F,0,0,0,0,1.791759
30,F,1,0,0,0,2.70805
68,F,1,0,0,0,1.386294
45,F,0,0,0,0,2.197225
71,F,0,0,0,0,2.079442
74,F,0,0,0,0,2.397895
43,F,1,0,0,0,2.397895
44,F,0,0,0,0,2.484907
65,U,0,0,0,0,2.302585
46,M,0,0,0,0,2.079442
29,F,0,0,0,0,2.197225
53,F,1,0,0,0,2.079442
64,M,0,0,0,0,2.302585
49,M,1,0,0,0,2.397895
59,F,1,0,0,0,2.890372
37,F,0,0,0,0,2.197225
60,U,0,0,0,1,1.791759
64,U,0,0,0,1,2.397895
54,F,0,0,1,0,1.386294
51,F,1,0,0,0,2.772589
47,F,0,0,0,0,2.197225
48,U,0,0,0,0,1.791759
61,F,0,0,0,0,1.609438
68,M,0,0,0,0,2.079442
76,F,0,0,0,0,2.564949
56,F,0,0,0,0,1.609438
73,M,1,0,0,0,2.197225
37,F,1,0,0,0,2.197225
32,F,1,1,0,0,2.197225
35,F,0,0,0,0,2.397895
46,F,0,0,0,0,1.94591
70,F,0,0,0,0,1.791759
37,M,1,0,0,0,2.302585
46,U,0,0,0,0,1.609438
68,U,0,0,0,0,1.386294
49,F,0,0,0,0,2.564949
63,F,0,0,0,0,1.609438
62,U,0,0,0,0,1.609438
54,F,1,0,1,0,1.791759
42,F,0,1,0,0,2.197225
43,F,0,0,0,0,2.079442
64,F,0,0,0,0,2.197225
45,F,0,0,0,0,2.302585
54,F,1,0,1,0,2.890372
40,F,0,0,0,0,2.302585
70,F,0,0,0,0,2.079442
54,F,1,0,1,0,3.044522
56,U,0,0,0,1,1.94591
32,U,1,0,0,1,2.772589
65,U,0,0,0,1,2.197225
43,F,0,0,0,0,2.197225
42,M,0,0,0,0,2.079442
22,U,0,0,0,0,1.609438
31,U,0,0,0,0,2.197225
54,M,0,0,1,0,2.302585
54,M,0,0,0,0,2.197225
53,M,0,0,0,0,2.302585
63,U,0,0,0,1,2.197225
65,F,0,0,0,0,2.079442
39,F,1,0,0,0,2.70805
42,F,1,0,0,0,2.302585
78,F,0,0,0,0,2.079442
54,M,0,0,1,0,2.302585
38,F,1,0,0,0,2.302585
42,M,0,0,0,0,2.484907
75,F,0,0,0,0,2.302585
50,F,0,0,0,0,2.197225
54,F,0,0,0,0,2.079442
54,M,0,0,1,0,1.94591
55,M,0,0,0,0,2.197225
59,F,0,0,0,0,2.484907
44,F,0,0,0,0,1.94591
72,U,0,0,0,0,1.791759
38,M,0,0,0,0,2.197225
54,M,1,0,1,0,2.484907
50,U,0,0,0,1,2.484907
66,F,0,0,0,0,2.079442
61,U,0,0,0,1,2.079442
78,F,0,0,0,0,1.94591
55,M,0,0,0,0,2.302585
49,M,0,0,0,0,2.079442
70,U,0,0,0,1,2.639057
45,F,0,0,0,0,1.94591
73,F,0,0,0,0,1.791759
57,F,0,0,0,0,2.302585
54,F,0,0,1,0,1.94591
63,M,0,0,0,0,2.397895
39,M,1,0,0,0,3.044522
35,F,1,0,0,0,2.079442
58,F,0,0,0,0,2.197225
40,F,1,0,0,0,2.397895
61,F,0,0,0,0,2.302585
54,F,0,0,1,0,2.564949
54,F,0,0,1,0,2.079442
70,F,0,0,0,0,1.791759
60,F,0,0,0,0,1.94591
77,F,0,0,0,0,2.70805
67,F,0,0,0,0,2.079442
37,F,1,0,0,0,2.944439
35,U,0,0,0,1,2.197225
58,F,0,0,0,0,1.791759
27,F,0,0,0,0,1.94591
72,U,0,0,0,0,1.791759
54,F,0,0,1,0,2.079442
51,M,0,0,0,0,2.079442
31,F,1,0,0,0,2.302585
58,F,0,0,0,0,2.397895
73,F,0,0,0,0,2.397895
54,U,0,0,1,0,2.302585
33,F,0,0,0,0,2.397895
67,U,0,0,0,0,1.94591
78,M,0,1,0,0,2.197225
50,F,0,0,0,0,2.302585
76,U,0,0,0,0,2.197225
54,F,0,0,0,0,2.639057
45,F,0,0,0,0,2.639057
72,F,0,1,0,0,2.197225
41,U,0,0,0,1,2.079442
66,M,0,0,0,0,2.302585
52,M,0,0,0,0,1.791759
60,F,0,0,0,0,1.94591
57,F,0,1,0,0,2.197225
41,F,0,1,0,0,2.197225
68,M,0,0,0,0,2.302585
47,F,0,0,0,0,2.70805
70,F,0,0,0,0,1.386294
40,M,0,0,0,0,2.397895
44,F,0,0,0,0,2.302585
54,U,0,0,1,1,1.791759
22,F,1,0,0,0,2.302585
65,M,0,1,0,0,2.197225
52,F,0,0,0,0,2.079442
48,F,0,0,0,0,2.302585
61,F,1,0,0,0,2.397895
55,M,0,0,0,0,2.197225
52,U,0,0,0,0,2.397895
68,F,0,1,0,0,2.197225
76,F,1,0,0,0,1.791759
47,M,0,0,0,0,2.484907
60,F,0,0,0,0,2.564949
59,F,0,0,0,0,1.386294
69,M,0,0,0,0,2.197225
27,F,1,0,0,0,2.079442
41,F,1,0,0,0,2.944439
36,U,1,1,0,0,2.197225
64,F,0,0,0,0,1.609438
45,M,0,0,0,0,2.197225
46,F,0,0,0,0,2.397895
50,U,0,0,0,1,1.098612
75,F,0,0,0,0,1.94591
62,M,0,0,0,0,2.484907
39,U,1,1,0,1,2.197225
25,F,1,0,0,0,2.484907
46,F,0,0,0,0,1.791759
39,U,1,0,0,0,2.397895
56,F,0,0,0,0,1.94591
56,U,0,0,0,0,1.94591
77,M,0,0,0,0,1.791759
63,M,0,0,0,0,2.302585
68,F,0,0,0,0,2.564949
43,F,1,0,0,0,2.890372
47,U,0,0,0,1,2.197225
45,F,0,0,0,0,1.94591
64,U,0,0,0,1,2.397895
37,F,1,0,0,0,2.564949
57,U,0,0,0,1,1.791759
41,U,0,0,0,1,1.94591
44,M,0,0,0,0,2.397895
51,F,0,0,0,0,2.302585
54,F,1,0,0,0,2.944439
54,M,0,0,1,0,2.197225
51,M,0,0,0,0,1.386294
56,M,1,0,0,0,2.197225
33,F,0,0,0,0,1.609438
59,F,1,1,0,0,2.197225
67,U,0,0,0,1,2.484907
72,M,0,0,0,0,2.079442
28,M,0,0,0,0,2.197225
39,F,1,0,0,0,2.397895
43,F,1,0,0,0,2.484907
50,M,0,0,0,0,2.397895
67,U,0,0,0,0,2.197225
55,M,0,0,0,0,2.302585
32,M,1,0,0,0,2.197225
71,U,0,0,0,1,1.791759
57,F,1,0,0,0,2.484907
34,F,0,0,0,0,1.791759
69,M,0,0,0,0,1.94591
67,M,0,0,0,0,1.94591
73,F,0,0,0,0,1.609438
74,F,0,0,0,0,2.302585
49,F,0,0,0,0,1.609438
49,F,0,0,0,0,2.197225
58,F,0,0,0,0,1.791759
36,M,0,1,0,0,2.197225
43,F,0,0,0,0,2.197225
76,U,0,0,0,0,1.791759
78,F,1,0,0,0,2.197225
76,F,0,0,0,0,1.609438
48,F,1,0,0,0,2.772589
68,M,0,0,0,0,2.079442
61,M,0,0,0,0,2.079442
56,U,0,0,0,1,2.079442
39,U,0,0,0,1,2.197225
35,F,1,0,0,0,2.484907
55,M,0,0,0,0,2.197225
47,U,0,0,0,1,2.079442
63,M,0,0,0,0,1.94591
33,F,0,0,0,0,2.079442
50,M,0,0,0,0,2.079442
45,F,0,0,0,0,2.484907
49,F,1,0,0,0,1.94591
62,F,0,0,0,0,2.197225
67,M,0,0,0,0,2.302585
59,F,0,0,0,0,2.302585
50,M,0,0,0,0,2.302585
35,F,1,0,0,0,2.079442
68,F,1,0,0,0,2.564949
38,F,1,0,0,0,2.995732
32,F,0,0,0,0,2.484907
30,F,1,0,0,0,2.079442
59,F,1,0,0,0,2.397895
53,U,0,0,0,0,2.197225
53,F,0,0,0,0,2.564949
53,F,1,0,0,0,2.639057
48,M,0,0,0,0,2.079442
73,F,1,1,0,0,2.197225
76,F,1,0,0,0,2.70805
44,F,1,0,0,0,2.484907
35,F,0,0,0,0,1.94591
50,F,0,0,0,0,2.302585
69,U,0,0,0,1,2.197225
54,F,1,0,1,0,2.302585
30,F,1,0,0,0,3.135494
44,F,0,0,0,0,2.397895
43,U,1,0,0,1,2.079442
23,F,1,0,0,0,2.079442
58,U,0,0,0,1,1.791759
54,F,1,0,1,0,2.564949
57,U,0,0,0,1,2.197225
42,F,0,0,0,0,2.197225
46,F,0,0,0,0,2.302585
33,U,0,0,0,0,2.890372
54,M,0,0,0,0,2.079442
37,F,1,0,0,0,2.833213
58,M,0,0,0,0,1.386294
45,U,0,0,0,1,2.197225
37,F,0,1,0,0,2.197225
54,F,1,0,0,0,2.397895
55,M,0,0,0,0,2.197225
40,M,0,0,0,0,2.079442
55,F,0,0,0,0,1.386294
57,U,0,0,0,0,1.791759
63,F,0,0,0,0,2.397895
53,U,0,0,0,1,2.397895
70,M,0,0,0,0,2.70805
56,U,0,0,0,0,2.70805
49,F,0,0,0,0,2.564949
70,M,1,0,0,0,2.564949
77,F,0,0,0,0,1.386294
54,F,0,1,0,0,2.197225
48,U,0,0,0,1,1.791759
68,F,0,0,0,0,1.791759
73,M,1,0,0,0,2.079442
67,F,1,0,0,0,2.484907
56,F,0,0,0,0,2.397895
56,F,0,0,0,0,2.079442
31,U,0,1,0,1,2.197225
42,U,1,0,0,1,2.639057
50,M,0,0,0,0,1.94591
51,M,0,0,0,0,2.079442
25,F,1,0,0,0,2.564949
50,F,0,0,0,0,2.397895
55,U,0,0,0,0,2.079442
67,F,0,0,0,0,2.397895
54,U,0,0,1,1,2.197225
43,F,0,0,0,0,2.564949
45,F,0,0,0,0,1.791759
54,F,0,0,1,0,2.302585
52,M,0,0,0,0,1.791759
61,F,0,0,0,0,2.079442
63,F,0,0,0,0,2.197225
53,F,0,0,0,0,2.772589
65,U,0,1,0,0,2.197225
40,M,0,0,0,0,1.098612
53,M,0,0,0,0,2.079442
64,U,0,0,0,1,2.564949
28,U,1,0,0,0,2.833213
70,F,1,0,0,0,1.94591
65,F,1,0,0,0,2.564949
57,F,0,0,0,0,2.639057
67,U,1,0,0,1,2.302585
73,F,0,0,0,0,1.94591
64,F,0,0,0,0,2.484907
32,F,1,0,0,0,1.94591
58,F,0,0,0,0,1.098612
70,F,0,0,0,0,1.94591
60,M,0,0,0,0,2.833213
72,M,0,0,0,0,2.302585
62,F,0,0,0,0,1.791759
59,F,0,0,0,0,2.079442
53,M,0,0,0,0,2.197225
60,U,0,0,0,0,2.079442
62,F,1,0,0,0,3.044522
32,F,1,0,0,0,1.94591
37,F,1,0,0,0,2.564949
62,F,0,0,0,0,2.197225
68,F,0,0,0,0,2.197225
51,F,0,0,0,0,2.302585
55,F,1,0,0,0,1.94591
36,M,1,0,0,0,2.302585
31,F,1,1,0,0,2.197225
67,M,0,0,0,0,2.079442
68,M,0,0,0,0,2.639057
76,U,0,0,0,1,1.609438
54,F,1,1,1,0,2.197225
47,F,1,0,0,0,2.833213
52,U,0,0,0,1,1.94591
44,F,0,0,0,0,1.94591
54,M,0,0,1,0,2.302585
29,M,1,0,0,0,2.079442
61,M,0,0,0,0,1.94591
70,F,0,0,0,0,2.197225
43,F,1,0,0,0,1.791759
77,F,0,0,0,0,1.94591
36,F,1,0,0,0,3.258097
38,F,1,0,0,0,2.197225
58,M,0,0,0,0,2.772589
46,U,1,0,0,1,2.639057
63,M,0,0,0,0,2.484907
75,F,0,0,0,0,1.609438
54,F,1,0,0,0,2.079442
64,F,0,1,0,0,2.197225
44,F,1,0,0,0,2.772589
46,F,0,0,0,0,1.94591
67,F,1,0,0,0,2.197225
45,F,0,0,0,0,2.079442
37,F,0,0,0,0,2.079442
55,F,0,0,0,0,2.079442
55,F,0,0,0,0,2.397895
54,U,0,0,1,1,2.079442
75,F,0,0,0,0,2.197225
44,F,1,0,0,0,1.94591
47,M,0,0,0,0,2.079442
58,F,0,0,0,0,1.386294
65,F,0,0,0,0,1.94591
57,U,0,0,0,1,2.197225
44,F,0,0,0,0,1.94591
49,F,0,0,0,0,1.791759
38,F,0,0,0,0,2.564949
46,F,0,0,0,0,2.197225
28,F,1,0,0,0,2.397895
63,M,0,0,0,0,2.079442
54,M,0,0,1,0,2.70805
73,F,0,0,0,0,1.94591
74,F,0,0,0,0,1.791759
62,U,0,0,0,1,2.302585
54,U,1,0,1,1,2.564949
44,U,1,0,0,1,2.302585
58,F,1,0,0,0,2.484907
58,F,0,0,0,0,2.397895
69,M,0,0,0,0,2.197225
72,M,1,0,0,0,2.197225
33,F,1,0,0,0,2.564949
59,U,0,0,0,1,2.197225
68,F,0,0,0,0,2.302585
49,F,1,0,0,0,2.833213
45,M,0,0,0,0,2.70805
73,U,0,0,0,0,2.564949
32,F,1,0,0,0,2.302585
62,F,0,0,0,0,2.302585
58,M,0,0,0,0,2.484907
67,U,0,0,0,1,1.94591
58,M,0,0,0,0,1.791759
48,F,1,0,0,0,2.639057
57,F,1,0,0,0,2.397895
65,F,1,0,0,0,1.609438
75,M,1,0,0,0,2.197225
74,M,0,0,0,0,1.94591
76,F,0,0,0,0,1.94591
36,F,0,0,0,0,1.791759
37,F,0,0,0,0,2.397895
35,F,1,0,0,0,2.639057
54,M,1,0,1,0,2.564949
43,F,1,0,0,0,2.302585
57,U,0,0,0,0,2.197225
62,F,0,0,0,0,2.639057
46,M,0,0,0,0,2.397895
66,M,0,0,0,0,2.079442
55,M,0,0,0,0,2.197225
53,M,0,0,0,0,2.197225
54,U,0,0,1,1,2.302585
58,F,1,0,0,0,2.70805
54,M,0,0,1,0,2.197225
56,F,0,0,0,0,2.197225
51,F,0,0,0,0,2.197225
55,U,0,0,0,1,2.397895
57,M,0,0,0,0,2.197225
36,F,1,0,0,0,2.484907
51,U,0,0,0,1,2.079442
58,F,0,0,0,0,1.791759
65,F,0,0,0,0,2.079442
59,U,0,0,0,0,1.94591
62,M,0,0,0,0,2.079442
41,F,1,0,0,0,1.94591
74,F,0,0,0,0,2.302585
32,F,0,0,0,0,2.197225
49,F,0,0,0,0,2.639057
28,U,0,0,0,0,2.397895
63,M,0,0,0,0,2.564949
76,M,0,0,0,0,2.564949
54,U,1,0,1,0,2.564949
54,M,0,0,1,0,2.397895
59,F,1,0,0,0,2.197225
71,F,0,0,0,0,2.197225
48,F,1,0,0,0,2.484907
58,U,0,0,0,1,1.791759
57,U,0,0,0,1,1.94591
53,M,0,0,0,0,2.079442
69,M,0,0,0,0,2.079442
52,U,0,0,0,1,2.564949
42,F,0,1,0,0,2.197225
58,F,0,0,0,0,2.833213
54,M,0,0,0,0,2.484907
51,F,0,0,0,0,2.197225
54,F,0,0,0,0,2.484907
69,F,0,0,0,0,2.833213
49,F,0,0,0,0,2.484907
49,F,1,0,0,0,2.564949
55,F,1,0,0,0,2.302585
61,M,0,0,0,0,2.302585
49,M,0,0,0,0,1.609438
48,U,0,1,0,1,2.197225
72,F,1,0,0,0,2.197225
52,F,1,0,0,0,2.70805
53,U,0,0,0,1,2.079442
37,F,0,0,0,0,2.484907
54,F,0,0,1,0,1.791759
69,U,0,0,0,1,1.386294
74,F,0,0,0,0,1.791759
47,U,0,0,0,1,2.484907
53,F,1,0,0,0,2.484907
46,F,0,0,0,0,2.197225
50,U,0,0,0,1,2.484907
56,M,0,0,0,0,2.197225
44,F,0,0,0,0,2.197225
37,M,1,0,0,0,3.218876
71,F,1,0,0,0,2.772589
51,F,0,0,0,0,2.079442
60,F,0,0,0,0,2.302585
52,F,0,0,0,0,1.94591
74,M,1,0,0,0,2.564949
23,M,0,0,0,0,1.791759
50,U,0,0,0,0,1.94591
72,U,0,0,0,1,2.302585
60,U,0,0,0,1,2.564949
20,F,1,0,0,0,1.791759
63,F,1,0,0,0,2.484907
61,F,0,0,0,0,2.564949
43,F,0,0,0,0,1.609438
63,U,0,0,0,0,2.302585
53,F,0,0,0,0,2.397895
56,F,0,1,0,0,2.197225
43,U,0,0,0,0,2.079442
51,F,0,0,0,0,2.397895
31,F,0,0,0,0,2.079442
24,F,1,0,0,0,2.484907
61,U,0,0,0,0,1.098612
54,F,0,0,1,0,2.639057
48,M,1,0,0,0,3.044522
77,F,0,0,0,0,1.609438
59,F,0,0,0,0,2.197225
67,M,0,0,0,0,2.079442
54,M,0,0,1,0,1.94591
57,U,0,0,0,1,2.397895
36,F,1,0,0,0,2.484907
41,F,1,0,0,0,2.564949
48,M,0,0,0,0,2.197225
36,F,1,0,0,0,1.791759
67,F,0,0,0,0,2.302585
63,U,0,0,0,0,2.397895
70,F,1,0,0,0,2.833213
36,F,1,0,0,0,2.397895
33,U,0,0,0,0,2.079442
44,M,0,0,0,0,2.197225
64,F,0,0,0,0,2.197225
28,F,1,0,0,0,1.791759
64,M,0,0,0,0,2.564949
51,F,0,0,0,0,2.197225
27,U,1,0,0,0,1.94591
40,M,0,0,0,0,2.197225
38,F,1,0,0,0,2.302585
51,M,0,0,0,0,1.791759
45,U,0,0,0,0,1.94591
50,U,0,0,0,1,2.564949
56,U,0,0,0,1,2.197225
70,F,1,0,0,0,2.484907
40,U,0,0,0,0,1.791759
48,F,0,0,0,0,2.639057
28,F,0,0,0,0,1.791759
62,F,0,0,0,0,1.609438
70,M,1,0,0,0,2.484907
57,M,0,0,0,0,2.302585
36,F,1,0,0,0,2.397895
55,M,1,0,0,0,2.639057
50,F,0,0,0,0,2.70805
76,M,0,0,0,0,2.302585
59,U,0,1,0,1,2.197225
39,F,1,0,0,0,2.197225
65,F,1,0,0,0,1.94591
47,F,0,0,0,0,2.397895
51,F,0,0,0,0,2.484907
52,F,0,0,0,0,2.197225
64,F,0,0,0,0,2.079442
43,F,0,0,0,0,2.079442
55,F,1,0,0,0,3.295837
62,U,0,0,0,1,2.772589
56,F,1,0,0,0,2.397895
57,M,0,0,0,0,1.94591
33,F,1,0,0,0,2.944439
36,F,0,0,0,0,2.70805
19,F,0,0,0,0,2.302585
69,F,0,0,0,0,2.079442
43,U,0,0,0,1,1.609438
53,F,0,0,0,0,1.94591
57,U,0,0,0,1,2.197225
63,F,0,0,0,0,2.079442
61,U,0,0,0,1,2.302585
57,M,1,0,0,0,2.484907
58,F,0,0,0,0,2.079442
55,U,1,0,0,1,2.833213
49,U,0,0,0,0,1.609438
41,F,1,0,0,0,3.044522
52,F,1,0,0,0,2.70805
52,M,0,0,0,0,2.484907
52,M,0,0,0,0,2.890372
54,F,0,0,1,0,2.079442
62,M,0,0,0,0,2.70805
62,F,0,0,0,0,2.564949
49,F,0,0,0,0,1.791759
69,U,0,0,0,1,1.791759
60,M,0,0,0,0,2.197225
62,F,0,0,0,0,1.94591
44,F,1,0,0,0,2.302585
67,U,0,0,0,0,2.302585
54,F,0,0,0,0,1.791759
44,F,1,0,0,0,2.772589
54,F,0,0,1,0,1.791759
29,F,1,0,0,0,2.484907
54,F,0,0,0,0,1.098612
51,M,0,0,0,0,1.94591
65,F,1,0,0,0,2.772589
47,U,0,0,0,0,2.302585
49,F,0,0,0,0,2.079442
49,U,0,0,0,1,2.564949
67,F,0,0,0,0,2.302585
54,F,1,0,1,0,2.397895
48,M,0,0,0,0,2.302585
35,U,0,0,0,0,1.791759
62,M,0,0,0,0,2.197225
54,U,0,0,1,1,1.609438
40,F,1,0,0,0,2.197225
51,F,0,0,0,0,1.94591
47,F,0,0,0,0,2.397895
38,M,0,0,0,0,2.079442
73,F,0,0,0,0,1.94591
77,F,0,0,0,0,2.639057
70,F,0,0,0,0,1.94591
70,U,0,0,0,1,1.609438
41,M,0,0,0,0,1.386294
54,U,0,0,1,1,2.397895
52,M,0,0,0,0,2.639057
54,U,0,0,0,0,2.890372
67,M,0,0,0,0,1.791759
64,F,1,0,0,0,2.639057
71,F,1,0,0,0,2.197225
45,F,0,0,0,0,2.197225
67,F,0,0,0,0,1.94591
37,M,0,0,0,0,1.94591
51,U,0,0,0,1,1.609438
69,U,0,0,0,0,2.079442
47,M,0,0,0,0,2.397895
72,F,0,0,0,0,2.397895
68,M,0,0,0,0,1.791759
49,M,0,0,0,0,2.302585
44,F,0,0,0,0,2.302585
54,M,0,0,1,0,1.94591
36,F,1,0,0,0,2.397895
59,F,0,0,0,0,2.079442
51,F,0,0,0,0,2.197225
26,F,1,0,0,0,2.772589
64,U,0,0,0,1,2.079442
41,F,0,0,0,0,1.791759
65,F,1,0,0,0,2.197225
69,F,0,0,0,0,1.94591
55,F,0,0,0,0,2.564949
54,U,0,0,1,0,1.94591
59,M,0,1,0,0,2.197225
76,M,1,0,0,0,2.302585
63,F,0,0,0,0,2.079442
67,U,0,0,0,1,2.397895
43,M,0,0,0,0,1.098612
75,F,0,0,0,0,2.302585
72,F,0,0,0,0,2.70805
70,F,0,0,0,0,2.397895
66,M,0,0,0,0,2.484907
64,M,0,0,0,0,2.197225
42,F,1,0,0,0,2.484907
69,F,0,0,0,0,1.609438
74,F,0,0,0,0,2.639057
57,U,0,0,0,1,2.302585
46,U,0,1,0,1,2.197225
40,U,0,0,0,1,2.564949
35,F,0,0,0,0,1.791759
48,U,0,0,0,0,2.197225
53,M,0,0,0,0,2.397895
54,F,1,0,0,0,2.70805
48,F,0,0,0,0,1.386294
47,U,0,0,0,1,1.791759
29,M,0,0,0,0,1.609438
33,F,1,0,0,0,2.302585
55,F,0,0,0,0,1.386294
32,F,1,0,0,0,2.484907
69,F,0,0,0,0,2.564949
52,F,0,0,0,0,1.94591
54,U,0,0,1,0,2.302585
46,F,0,0,0,0,0.693147
35,U,0,0,0,0,1.791759
41,M,0,0,0,0,2.484907
48,F,1,0,0,0,2.70805
76,F,1,0,0,0,2.639057
43,F,0,0,0,0,1.791759
44,U,0,0,0,0,2.397895
35,F,0,1,0,0,2.197225
32,F,0,0,0,0,2.302585
48,F,0,0,0,0,2.397895
58,F,0,0,0,0,1.94591
44,F,1,0,0,0,2.397895
45,U,0,0,0,0,1.94591
70,M,0,0,0,0,2.564949
45,U,0,0,0,1,2.772589
53,U,0,0,0,0,2.397895
64,U,0,0,0,1,1.609438
76,M,0,1,0,0,2.197225
51,F,0,0,0,0,2.079442
52,F,0,0,0,0,1.94591
46,F,0,0,0,0,1.94591
59,M,1,0,0,0,1.791759
76,M,0,0,0,0,1.609438
24,F,1,0,0,0,2.079442
76,U,0,0,0,0,1.386294
50,F,0,0,0,0,1.609438
44,U,0,0,0,0,1.94591
59,F,0,0,0,0,2.197225
76,M,1,0,0,0,1.94591
39,M,0,0,0,0,1.94591
56,F,0,0,0,0,2.397895
59,F,0,0,0,0,2.397895
72,F,1,0,0,0,2.302585
64,F,1,0,0,0,2.484907
43,F,0,0,0,0,2.302585
64,U,0,0,0,0,2.484907
67,M,0,0,0,0,1.386294
67,F,0,0,0,0,2.197225
62,F,0,0,0,0,2.197225
67,F,0,0,0,0,2.079442
53,F,1,0,0,0,2.079442
50,M,0,0,0,0,1.94591
49,F,0,1,0,0,2.197225
