ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,PromClass_Dummy_Platinum,PromClass_Dummy_Gold,PromClass_Dummy_Silver,DemAffl_M,DemAge_M,PromTime_M,DemClusterGroup_M,DemGender_M,DemReg_M,DemTVReg_M,promSpend_Log,promTime_Log,DemAffl_Log
41092,3,50,D,F,Midlands,East,Gold,9800,3,0,0,1,0,0,0,0,0,0,0,0,9.1902397003,1.3862943611,1.3862943611
41475,8,66,D,M,South East,London,Tin,0.01,11,0,0,0,0,1,0,0,0,0,0,0,0.0099503309,2.4849066498,2.1972245773
42439,15,35,C,F,Midlands,Wales & West,Silver,1630,5,1,0,0,1,0,0,0,0,0,0,0,7.3969486026,1.7917594692,2.7725887222
45799,10,71,B,F,Midlands,Wales & West,Silver,1500,5,0,0,0,1,0,0,0,0,0,0,0,7.3138868316,1.7917594692,2.3978952728
46906,7,44,F,F,Unknown,N West,Silver,1000,1,0,0,0,1,0,0,0,0,0,1,0,6.9087547793,0.6931471806,2.0794415417
50237,8,42,B,M,North,N East,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.1972245773
51950,9,68,B,F,South West,S West,Gold,6053.25,5,1,0,1,0,0,0,0,0,0,0,0,8.7085157837,1.7917594692,2.302585093
54496,9,31,D,F,North,Yorkshire,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,2.302585093
56073,8,70,B,F,South East,London,Gold,19053.82,15,0,0,1,0,0,0,0,0,0,0,0,9.8550753669,2.7725887222,2.1972245773
57002,7,72,E,F,North,N East,Platinum,20526.96,3,0,1,0,0,0,0,0,0,0,0,0,9.9295431383,1.3862943611,2.0794415417
57622,12,41,U,M,Midlands,East,Tin,0.01,9,0,0,0,0,0,0,0,1,0,0,0,0.0099503309,2.302585093,2.5649493575
59056,9,37,F,F,North,N East,Gold,6000,1,1,0,1,0,0,0,0,0,0,0,0,8.699681401,0.6931471806,2.302585093
59862,8,58,C,F,North,N West,Gold,10053.35,7,0,0,1,0,0,0,0,0,0,0,0,9.2157606557,2.0794415417,2.1972245773
63002,7,47,D,U,South East,London,Silver,0.02,5,0,0,0,1,0,0,0,0,1,0,0,0.0198026273,1.7917594692,2.0794415417
63983,8,71,E,M,Midlands,East,Silver,1000,6,0,0,0,1,0,0,0,0,0,0,0,6.9087547793,1.9459101491,2.1972245773
71986,8,62,D,F,Midlands,Midlands,Silver,1000,5,1,0,0,1,0,0,0,0,0,0,0,6.9087547793,1.7917594692,2.1972245773
72559,15,72,E,U,Midlands,Midlands,Gold,6340.26,12,0,0,1,0,0,0,0,0,0,0,0,8.7548327659,2.5649493575,2.7725887222
73148,8,39,E,F,Midlands,Midlands,Silver,2241.36,4,1,0,0,1,0,0,0,0,0,0,0,7.7152841617,1.6094379124,2.1972245773
75205,6,76,D,M,Midlands,Wales & West,Gold,12000,19,0,0,1,0,0,0,0,0,0,0,0,9.3927452586,2.9957322736,1.9459101491
75469,7,61,B,F,Scottish,Border,Gold,6000,11,1,0,1,0,0,0,0,0,0,0,0,8.699681401,2.4849066498,2.0794415417
80322,6,53,D,U,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,1.7917594692,1.9459101491
80608,8,60,C,M,North,Yorkshire,Silver,60,11,1,0,0,1,0,0,0,0,0,0,0,4.1108738642,2.4849066498,2.1972245773
82678,15,42,F,F,South East,London,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.7725887222
83852,13,54,A,F,South East,London,Silver,5000,4,0,0,0,1,0,1,0,0,0,0,0,8.5173931714,1.6094379124,2.6390573296
84573,10,57,E,F,Midlands,Midlands,Silver,50,11,0,0,0,1,0,0,0,0,0,0,0,3.9318256327,2.4849066498,2.3978952728
87750,6,45,F,M,Midlands,Midlands,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,1.9459101491
89796,11,75,B,F,Midlands,East,Silver,3052.66,8,1,0,0,1,0,0,0,0,0,0,0,8.0240961502,2.1972245773,2.4849066498
91588,8,37,E,F,North,Yorkshire,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.1972245773
93564,13,61,E,U,South West,S West,Silver,3000,8,0,0,0,1,0,0,0,0,0,0,0,8.0067008454,2.1972245773,2.6390573296
95036,12,61,B,F,Unknown,Unknown,Silver,1020,9,0,0,0,1,0,0,0,0,0,1,1,6.9285378182,2.302585093,2.5649493575
95982,19,39,A,F,North,Yorkshire,Tin,0.01,8,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.9957322736
97802,7,55,U,M,Midlands,Ulster,Silver,2000,1,0,0,0,1,0,0,0,1,0,0,0,7.6014023346,0.6931471806,2.0794415417
102385,8,57,B,M,Scottish,C Scotland,Gold,9000,9,0,0,1,0,0,0,0,0,0,0,0,9.1050909613,2.302585093,2.1972245773
103225,13,18,C,F,South East,S & S East,Gold,6000,1,0,0,1,0,0,0,0,0,0,0,0,8.699681401,0.6931471806,2.6390573296
108413,5,56,A,U,North,N West,Silver,3000,8,0,0,0,1,0,0,0,0,0,0,0,8.0067008454,2.1972245773,1.7917594692
109819,9,50,D,F,North,N East,Gold,20000,4,0,0,1,0,0,0,0,0,0,0,0,9.9035375513,1.6094379124,2.302585093
113743,8,54,F,F,North,N West,Silver,2000,2,0,0,0,1,1,0,0,0,0,0,0,7.6014023346,1.0986122887,2.1972245773
117498,11,67,B,U,North,N East,Platinum,22000,8,0,1,0,0,0,0,0,0,0,0,0,9.9988431859,2.1972245773,2.4849066498
118397,7,78,E,F,Midlands,Midlands,Silver,2000,24,0,0,0,1,0,0,0,0,0,0,0,7.6014023346,3.2188758249,2.0794415417
121312,5,61,C,F,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,1.7917594692
121495,5,45,B,U,South East,London,Silver,600,11,0,0,0,1,0,0,0,0,1,0,0,6.3985949345,2.4849066498,1.7917594692
124710,11,66,A,F,South East,London,Silver,2000,5,0,0,0,1,0,0,0,0,0,0,0,7.6014023346,1.7917594692,2.4849066498
126098,2,51,C,U,North,Yorkshire,Gold,10000,5,0,0,1,0,0,0,0,0,0,0,0,9.210440367,1.7917594692,1.0986122887
126586,3,54,C,F,Midlands,Midlands,Gold,15000,1,0,0,1,0,0,1,0,0,0,0,0,9.6158721445,0.6931471806,1.3862943611
127892,10,60,B,U,North,N West,Silver,1020,9,0,0,0,1,0,0,0,0,1,0,0,6.9285378182,2.302585093,2.3978952728
129283,9,48,C,M,Midlands,East,Silver,3000,2,0,0,0,1,0,0,0,0,0,0,0,8.0067008454,1.0986122887,2.302585093
129410,8,53,C,F,South East,S & S East,Silver,100,1,0,0,0,1,0,0,0,0,0,0,0,4.6151205168,0.6931471806,2.1972245773
140597,9,68,E,F,South East,London,Tin,0.01,7,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.0794415417,2.302585093
144649,8,47,A,F,Scottish,N Scot,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.1972245773
145157,11,39,E,F,South East,London,Silver,2800,1,1,0,0,1,0,0,0,0,0,0,0,7.9377317753,0.6931471806,2.4849066498
146730,12,72,A,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.5649493575
148415,10,67,E,M,South East,London,Gold,6000,4,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.6094379124,2.3978952728
148849,9,60,C,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.302585093
151432,6,54,D,M,North,Yorkshire,Gold,9000,3,0,0,1,0,0,1,0,0,0,0,0,9.1050909613,1.3862943611,1.9459101491
154040,11,52,F,M,North,N West,Tin,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.302585093,2.4849066498
156515,7,55,D,F,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.0794415417
158216,14,65,U,M,South East,S & S East,Gold,6053.35,6,0,0,1,0,0,0,0,1,0,0,0,8.7085323009,1.9459101491,2.7080502011
159522,13,41,B,M,South East,London,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.0794415417,2.6390573296
162485,16,34,D,F,Midlands,East,Silver,3000,3,1,0,0,1,0,0,0,0,0,0,0,8.0067008454,1.3862943611,2.8332133441
165808,6,40,D,F,North,N West,Silver,1500,7,1,0,0,1,0,0,0,0,0,0,0,7.3138868316,2.0794415417,1.9459101491
168394,9,35,F,F,South East,London,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,2.302585093
170127,7,50,B,M,North,Yorkshire,Silver,5000,10,0,0,0,1,0,0,0,0,0,0,0,8.5173931714,2.3978952728,2.0794415417
181498,6,62,A,U,North,N West,Silver,3000,29,0,0,0,1,0,0,0,0,1,0,0,8.0067008454,3.4011973817,1.9459101491
191396,7,54,F,M,North,Yorkshire,Tin,0.01,10,0,0,0,0,0,1,0,0,0,0,0,0.0099503309,2.3978952728,2.0794415417
192791,9,60,C,M,Midlands,East,Gold,8100,5,0,0,1,0,0,0,0,0,0,0,0,8.9997427898,1.7917594692,2.302585093
197440,8,49,B,F,North,N West,Gold,7600,4,0,0,1,0,0,0,0,0,0,0,0,8.9360350966,1.6094379124,2.1972245773
202878,6,57,F,M,Midlands,Midlands,Silver,2000,8,0,0,0,1,0,0,0,0,0,0,0,7.6014023346,2.1972245773,1.9459101491
203289,7,52,F,U,Midlands,Midlands,Platinum,23053.35,6,0,1,0,0,0,0,0,0,0,0,0,10.045609751,1.9459101491,2.0794415417
206032,6,75,F,M,Scottish,C Scotland,Gold,10000,17,0,0,1,0,0,0,0,0,0,0,0,9.210440367,2.8903717579,1.9459101491
209732,15,55,E,U,Midlands,Midlands,Gold,10000,6,0,0,1,0,0,0,0,0,1,0,0,9.210440367,1.9459101491,2.7725887222
213241,5,57,F,F,Unknown,Unknown,Gold,12000,1,0,0,1,0,0,0,0,0,0,1,1,9.3927452586,0.6931471806,1.7917594692
215554,8,52,C,F,North,N West,Silver,2500,6,1,0,0,1,0,0,0,0,0,0,0,7.8244459309,1.9459101491,2.1972245773
217158,12,74,A,F,Midlands,East,Gold,6000,5,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.7917594692,2.5649493575
223182,9,79,D,F,South East,London,Silver,5000,5,0,0,0,1,0,0,0,0,0,0,0,8.5173931714,1.7917594692,2.302585093
234540,6,48,D,U,North,Yorkshire,Silver,420,4,0,0,0,1,0,0,0,0,1,0,0,6.0426328337,1.6094379124,1.9459101491
239844,11,60,E,U,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,2.1972245773,2.4849066498
243051,3,38,F,F,North,N West,Silver,50,9,1,0,0,1,0,0,0,0,0,0,0,3.9318256327,2.302585093,1.3862943611
248258,9,58,B,F,North,N West,Silver,5000,5,0,0,0,1,0,0,0,0,0,0,0,8.5173931714,1.7917594692,2.302585093
249335,4,52,D,M,Midlands,Wales & West,Silver,1800,4,0,0,0,1,0,0,0,0,0,0,0,7.4960973452,1.6094379124,1.6094379124
252646,3,45,F,F,North,Yorkshire,Silver,100.01,9,0,0,0,1,0,0,0,0,0,0,0,4.6152195218,2.302585093,1.3862943611
253839,9,42,F,F,North,N West,Silver,2000,4,0,0,0,1,0,0,0,0,0,0,0,7.6014023346,1.6094379124,2.302585093
256366,10,40,F,U,Midlands,Midlands,Silver,50,10,0,0,0,1,0,0,0,0,0,0,0,3.9318256327,2.3978952728,2.3978952728
259802,5,55,D,U,Midlands,Midlands,Gold,10100,8,0,0,1,0,0,0,0,0,1,0,0,9.2203897078,2.1972245773,1.7917594692
262684,8,77,C,U,Midlands,Midlands,Gold,6000,3,0,0,1,0,0,0,0,0,1,0,0,8.699681401,1.3862943611,2.1972245773
263419,11,27,C,F,South East,London,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.0794415417,2.4849066498
267236,4,60,E,F,North,N West,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,1.6094379124
270962,7,58,A,U,South East,London,Silver,2500,5,0,0,0,1,0,0,0,0,0,0,0,7.8244459309,1.7917594692,2.0794415417
271101,7,54,B,U,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,1,0,1,0,0,0.0099503309,1.7917594692,2.0794415417
274623,7,42,D,M,North,N West,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,2.0794415417
275700,10,36,F,F,Unknown,Unknown,Silver,1000,9,1,0,0,1,0,0,0,0,0,1,1,6.9087547793,2.302585093,2.3978952728
276871,6,54,E,F,South East,London,Gold,5500,1,1,0,1,0,0,1,0,0,0,0,0,8.6126851729,0.6931471806,1.9459101491
277010,4,57,D,F,South East,London,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,1.6094379124
278661,10,72,C,F,Midlands,Midlands,Gold,11105.32,8,0,0,1,0,0,0,0,0,0,0,0,9.3152695946,2.1972245773,2.3978952728
280895,10,54,C,F,Midlands,East,Tin,0.01,6,1,0,0,0,0,1,0,0,0,0,0,0.0099503309,1.9459101491,2.3978952728
282057,7,37,F,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.0794415417
285846,9,76,F,F,Midlands,East,Silver,2000,8,1,0,0,1,0,0,0,0,0,0,0,7.6014023346,2.1972245773,2.302585093
287628,6,45,D,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,1.9459101491
288748,14,54,C,F,South East,S & S East,Gold,10000,8,0,0,1,0,0,1,0,0,0,0,0,9.210440367,2.1972245773,2.7080502011
290890,8,51,F,M,South East,London,Silver,0.02,9,0,0,0,1,1,0,0,0,0,0,0,0.0198026273,2.302585093,2.1972245773
293083,15,61,B,U,South East,S & S East,Silver,500,2,0,0,0,1,0,0,0,0,1,0,0,6.2166061011,1.0986122887,2.7725887222
293555,12,61,B,F,Scottish,N Scot,Silver,4000,1,0,0,0,1,0,0,0,0,0,0,0,8.2942996089,0.6931471806,2.5649493575
295620,9,47,U,M,Midlands,Ulster,Tin,0.01,5,0,0,0,0,0,0,0,1,0,0,0,0.0099503309,1.7917594692,2.302585093
297194,8,52,F,U,Midlands,East,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.1972245773
300845,8,40,E,U,Midlands,Midlands,Silver,1000,1,0,0,0,1,0,0,0,0,0,0,0,6.9087547793,0.6931471806,2.1972245773
301175,5,56,D,F,Midlands,Midlands,Tin,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.302585093,1.7917594692
301981,8,51,F,F,North,N West,Gold,9000.01,8,0,0,1,0,0,0,0,0,0,0,0,9.1050920722,2.1972245773,2.1972245773
310786,9,50,C,F,South East,London,Gold,12000,2,0,0,1,0,0,0,0,0,0,0,0,9.3927452586,1.0986122887,2.302585093
312169,4,46,E,U,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,1.7917594692,1.6094379124
312762,8,41,B,F,South East,S & S East,Silver,1675,7,1,0,0,1,0,0,0,0,0,0,0,7.424165281,2.0794415417,2.1972245773
315559,8,60,B,M,South East,London,Silver,100.01,8,0,0,0,1,0,0,0,0,0,0,0,4.6152195218,2.1972245773,2.1972245773
315788,10,70,B,F,South East,S & S East,Silver,2250,8,0,0,0,1,0,0,0,0,0,0,0,7.7191298409,2.1972245773,2.3978952728
316350,9,50,D,F,South East,London,Tin,0.01,9,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.302585093,2.302585093
317640,15,37,F,F,Midlands,Midlands,Tin,0.01,8,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.7725887222
317950,9,74,C,F,South East,London,Silver,3000,5,0,0,0,1,0,0,0,0,0,0,0,8.0067008454,1.7917594692,2.302585093
318922,8,61,E,U,South West,S West,Silver,1200,6,1,0,0,1,0,0,0,0,1,0,0,7.0909098221,1.9459101491,2.1972245773
323039,8,49,A,U,North,N West,Silver,4000,3,0,0,0,1,0,0,0,0,1,0,0,8.2942996089,1.3862943611,2.1972245773
324469,7,54,D,F,South East,S & S East,Tin,0.01,8,0,0,0,0,0,1,0,0,0,0,0,0.0099503309,2.1972245773,2.0794415417
331341,9,53,B,M,Scottish,C Scotland,Gold,6000,4,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.6094379124,2.302585093
332658,4,54,D,F,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,1,0,0,0,0,0,0.0099503309,1.7917594692,1.6094379124
335606,8,59,E,U,Scottish,Border,Silver,2500,7,0,0,0,1,1,0,0,0,0,0,0,7.8244459309,2.0794415417,2.1972245773
340146,7,63,B,U,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,1.7917594692,2.0794415417
342033,7,51,D,F,North,N West,Silver,3026.67,10,0,0,0,1,0,0,0,0,0,0,0,8.0155486258,2.3978952728,2.0794415417
343102,5,62,D,F,North,N West,Platinum,56053.35,7,0,1,0,0,0,0,0,0,0,0,0,10.934077035,2.0794415417,1.7917594692
345474,3,46,C,F,South East,S & S East,Silver,0.1,10,0,0,0,1,0,0,0,0,0,0,0,0.0953101798,2.3978952728,1.3862943611
345865,10,39,E,M,North,Yorkshire,Gold,7500,2,1,0,1,0,0,0,0,0,0,0,0,8.922791624,1.0986122887,2.3978952728
346225,6,53,E,M,South East,S & S East,Silver,3000,6,1,0,0,1,0,0,0,0,0,0,0,8.0067008454,1.9459101491,1.9459101491
346403,10,54,D,U,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,1,0,0,1,0,0,0.0099503309,1.7917594692,2.3978952728
347086,7,48,C,F,South East,London,Silver,5000,4,0,0,0,1,0,0,0,0,0,0,0,8.5173931714,1.6094379124,2.0794415417
347531,7,62,B,F,South East,S & S East,Gold,12808.95,11,0,0,1,0,0,0,0,0,0,0,0,9.4579774917,2.4849066498,2.0794415417
349291,9,26,B,M,South East,London,Silver,4000,1,0,0,0,1,0,0,0,0,0,0,0,8.2942996089,0.6931471806,2.302585093
349739,7,54,E,F,North,N East,Silver,2500,5,0,0,0,1,0,1,0,0,0,0,0,7.8244459309,1.7917594692,2.0794415417
351482,6,43,E,F,South West,S West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.0986122887,1.9459101491
356425,7,78,E,F,Midlands,Midlands,Gold,6000,5,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.7917594692,2.0794415417
356719,3,67,C,F,Midlands,East,Gold,12049.25,3,0,0,1,0,0,0,0,0,0,0,0,9.3968406856,1.3862943611,1.3862943611
357898,2,45,D,F,North,N West,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,1.0986122887
358649,10,60,D,U,Scottish,C Scotland,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,1.7917594692,2.3978952728
359955,13,68,E,F,South East,London,Gold,7500,6,0,0,1,0,0,0,0,0,0,0,0,8.922791624,1.9459101491,2.6390573296
361283,14,74,A,U,South East,S & S East,Platinum,20245.89,3,0,1,0,0,0,0,0,0,0,0,0,9.9157564805,1.3862943611,2.7080502011
362468,5,53,D,M,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,1.7917594692
369225,5,51,C,M,Scottish,C Scotland,Silver,420,8,0,0,0,1,0,0,0,0,0,0,0,6.0426328337,2.1972245773,1.7917594692
369780,9,54,A,F,South East,S & S East,Platinum,25000,1,0,1,0,0,0,1,0,0,0,0,0,10.126671103,0.6931471806,2.302585093
370398,6,51,F,F,South East,S & S East,Silver,200,1,0,0,0,1,0,0,0,0,0,0,0,5.3033049081,0.6931471806,1.9459101491
370622,5,51,A,U,South East,S & S East,Silver,200,2,0,0,0,1,0,0,0,0,0,0,0,5.3033049081,1.0986122887,1.7917594692
371475,11,36,C,M,South East,London,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,2.4849066498
374644,8,63,F,F,Midlands,Wales & West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.0986122887,2.1972245773
375330,8,69,C,F,South East,S & S East,Silver,500,9,0,0,0,1,0,0,0,0,0,0,0,6.2166061011,2.302585093,2.1972245773
376078,11,40,D,F,Midlands,Midlands,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.4849066498
380113,4,46,E,F,Midlands,Wales & West,Silver,2165.75,11,0,0,0,1,0,0,0,0,0,0,0,7.680983628,2.4849066498,1.6094379124
393347,8,46,D,M,South East,S & S East,Tin,0.01,8,0,0,0,0,1,0,0,0,0,0,0,0.0099503309,2.1972245773,2.1972245773
396192,8,46,A,F,South East,S & S East,Silver,2245,11,1,0,0,1,0,0,0,0,0,0,0,7.7169061353,2.4849066498,2.1972245773
397407,9,38,D,F,North,N West,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.302585093
397660,4,67,F,M,North,N West,Gold,11000,5,0,0,1,0,0,0,0,0,0,0,0,9.3057414567,1.7917594692,1.6094379124
400297,11,73,F,U,North,Yorkshire,Platinum,26000,4,0,1,0,0,0,0,0,0,0,0,0,10.165890278,1.6094379124,2.4849066498
403768,5,53,B,F,Scottish,Border,Gold,9000,8,0,0,1,0,0,0,0,0,0,0,0,9.1050909613,2.1972245773,1.7917594692
407364,6,55,E,F,Midlands,Midlands,Silver,5000,4,1,0,0,1,0,0,0,0,0,0,0,8.5173931714,1.6094379124,1.9459101491
408964,9,54,A,F,South East,London,Silver,3000,8,0,0,0,1,0,0,0,0,0,0,0,8.0067008454,2.1972245773,2.302585093
414832,6,45,F,M,South East,London,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,1.9459101491
418943,10,39,C,M,Unknown,Unknown,Tin,0.01,4,1,0,0,0,0,0,0,0,0,1,1,0.0099503309,1.6094379124,2.3978952728
